Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
216.480	0.02719802	212.4564	0	18						-0.006994992	-0.003660629	-0.006206824	
216.496	0.04547476	212.4747	0	18						-0.006912813	-0.003701648	-0.005988681	
216.520	0.06847961	212.4977	0	18						-0.006900877	-0.003718771	-0.005789478	
216.541	0.09037945	212.5196	0	18						-0.006871536	-0.003737689	-0.005628503	
216.565	0.1130876	212.5423	0	18						-0.006860065	-0.003746162	-0.005480504	
216.604	0.1528446	212.5821	0	18						-0.006876424	-0.003753137	-0.005327004	
216.620	0.1690671	212.5983	0	18						-0.006884623	-0.003797565	-0.005165087	
216.637	0.1855368	212.6147	0	18						-0.006910693	-0.003812092	-0.005068901	
216.652	0.2014609	212.6307	0	18						-0.006924167	-0.003822166	-0.004992237	
216.675	0.2235591	212.6528	0	18						-0.006927695	-0.003838017	-0.004925574	
216.697	0.2459824	212.6752	0	18						-0.006956425	-0.003833392	-0.004834844	
216.717	0.2664253	212.6956	0	18						-0.006999849	-0.003827024	-0.004755806	
216.739	0.2878866	212.7171	0	18						-0.007040977	-0.003827933	-0.004687232	
216.755	0.3045677	212.7338	0	18						-0.007087484	-0.003805861	-0.004629347	
216.771	0.3203927	212.7496	0	18						-0.007146024	-0.003800672	-0.00457567	
216.786	0.3348729	212.7641	0	18						-0.007162343	-0.003796228	-0.004564571	
216.804	0.352721	212.7819	0	18						-0.007204171	-0.003785177	-0.004549079	
216.819	0.3684223	212.7976	0	18						-0.007249631	-0.003793649	-0.004527778	
216.836	0.3851109	212.8143	0	18						-0.007273107	-0.003796729	-0.004530546	
216.851	0.4001442	212.8294	0	18						-0.007319201	-0.003788965	-0.004535391	
216.869	0.4173329	212.8465	0	18						-0.007379144	-0.003785582	-0.004535918	
216.891	0.4398107	212.869	0	18						-0.007408857	-0.003778524	-0.004546629	
216.907	0.4564547	212.8857	0	18						-0.007472117	-0.003767429	-0.004565091	
216.926	0.4747761	212.904	0	18						-0.007532168	-0.003760599	-0.004585921	
216.942	0.4907109	212.9199	0	18						-0.007579803	-0.00377105	-0.004615303	
216.959	0.5083231	212.9375	0	18						-0.007648754	-0.003779768	-0.004645783	
216.985	0.5320071	212.9612	0	18						-0.007694732	-0.003787662	-0.004681543	
217.007	0.5552912	212.9845	0	18						-0.007790063	-0.003794956	-0.004736837	
217.028	0.5768355	213.0061	0	18						-0.007898037	-0.00379222	-0.004795056	
217.051	0.6003717	213.0296	0	18						-0.008002989	-0.003785028	-0.004845315	
217.072	0.6208446	213.0501	0	18						-0.008118596	-0.003753319	-0.004908647	
217.095	0.6436346	213.0728	0	18						-0.008212171	-0.003731276	-0.004973508	
217.116	0.6652654	213.0945	0	18						-0.008361652	-0.003709247	-0.005076461	
217.139	0.6878451	213.1171	0	18						-0.008503113	-0.003696699	-0.005189736	
217.161	0.7096537	213.1389	0	18						-0.008658316	-0.003668388	-0.005326757	
217.186	0.7334889	213.1627	0	18						-0.008855022	-0.003656313	-0.005465434	
217.207	0.7555729	213.1848	0	18						-0.009060697	-0.003610815	-0.005630551	
217.241	0.7765791	213.2058	0	18						-0.009248137	-0.003571226	-0.005786704	
217.258	0.8061684	213.2354	0	18						-0.009421311	-0.003534371	-0.005948079	
217.276	0.8237862	213.253	0	18						-0.009646535	-0.003489352	-0.006220608	
217.294	0.8432825	213.2725	0	18						-0.009791873	-0.003478092	-0.006376012	
217.317	0.8656201	213.2948	0	18						-0.009896751	-0.003448964	-0.006527228	
217.340	0.8881742	213.3174	0	18						-0.01000901	-0.003422823	-0.006721843	
217.361	0.9097402	213.339	0	18						-0.01012393	-0.003403656	-0.006929229	
217.383	0.9316776	213.3609	0	18						-0.0102243	-0.00340051	-0.007134192	
217.405	0.9539235	213.3831	0	18						-0.01031319	-0.003387682	-0.007338548	
217.426	0.9750953	213.4043	0	18						-0.01039904	-0.003364644	-0.007547108	
217.449	0.9981965	213.4274	0	18						-0.01044654	-0.003341451	-0.007738017	
217.474	1.022782	213.452	0	18						-0.01051126	-0.00332005	-0.007949978	
217.495	1.043804	213.473	0	18						-0.0105658	-0.00331709	-0.008148784	
217.518	1.066968	213.4962	0	18						-0.01059792	-0.003324815	-0.008329327	
217.540	1.088714	213.5179	0	18						-0.01062064	-0.003330514	-0.008506669	
