Anova: Two-Factor With Replication,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SUMMARY,-30 : 0,-30 : 30,-30 : 60,-30 : 90,-30 : 120,-30 : 150,-30 : 180,0 : 30,0 : 60,0 : 90,0 : 120,0 : 150,0 : 180,30 : 0,30 : 30,30 : 60,30 : 90,30 : 120,30 : 150,30 : 180,Total
Condition 1,,,,,,,,,,,,,,,,,,,,,
Count,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,220
Sum,255.6802183,323.1065602,391.099236,500.407666,536.8654114,496.2637337,408.0763493,357.8258682,460.806519,599.6252887,666.1956261,625.5257479,525.2340984,249.0389445,365.9728565,360.2003108,482.4508313,530.8886714,467.9568456,361.7045989,8964.925382
Average,23.24365621,29.37332366,35.554476,45.491606,48.80594649,45.11488488,37.09784994,32.52962438,41.89150172,54.51138988,60.56323873,56.86597708,47.7485544,22.63990405,33.27025968,32.7454828,43.85916648,48.26260649,42.54153141,32.88223627,40.74966083
Variance,41.06994977,131.4184953,81.21590219,109.5548097,214.5518617,215.6292907,279.9107594,72.92660745,23.85337977,193.6592832,305.8502722,377.0259651,297.3878941,25.15462068,131.1980903,96.15668729,161.3556511,240.656605,133.9779332,158.6178209,256.8361608
,,,,,,,,,,,,,,,,,,,,,
Condition 2,,,,,,,,,,,,,,,,,,,,,
Count,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,220
Sum,295.5378004,363.7112366,407.9278121,545.0103406,629.8542322,650.5408995,520.8018138,380.3953352,478.0130005,659.4985777,776.8275011,793.46451,726.241398,305.9937008,405.4291362,392.4915436,540.052491,641.0577547,576.9418033,484.9813019,10574.77219
Average,26.86707276,33.06465788,37.08434655,49.5463946,57.25947565,59.14008178,47.34561943,34.58139411,43.45572732,59.95441615,70.62068192,72.13313728,66.02194527,27.81760917,36.8571942,35.68104942,49.095681,58.2779777,52.44925484,44.08920927,48.06714631
Variance,84.6904777,170.9875634,164.4653053,128.5763078,267.3683414,218.2515328,180.6682112,97.02067398,83.64754841,132.2641252,367.4870159,148.7967197,265.3833901,70.66135462,76.93357605,82.03916198,120.0196282,181.3619899,83.7423773,65.49946898,316.7965201
,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,
Count,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
Sum,551.2180187,686.8177968,799.0270481,1045.418007,1166.719644,1146.804633,928.8781631,738.2212034,938.8195194,1259.123866,1443.023127,1418.990258,1251.475496,555.0326454,771.4019927,752.6918544,1022.503322,1171.946426,1044.898649,846.6859009,
Average,25.05536448,31.21899077,36.31941128,47.5190003,53.03271107,52.12748333,42.22173469,33.55550925,42.67361452,57.23290302,65.59196033,64.49955718,56.88524983,25.22875661,35.06372694,34.21326611,46.47742374,53.2702921,47.49539313,38.48572277,
Variance,63.32450411,147.5715858,117.6040403,117.7018278,248.2020897,258.1281929,246.827714,82.0298328,51.8317472,162.9609536,347.1290371,311.4381352,355.4407294,52.64796284,102.48001,87.11214406,141.1699408,227.2322896,129.3856912,139.6167733,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ANOVA,,,,,,,,,,,,,,,,,,,,,
Source of Variation,SS,df,MS,F,P-value,F crit,,,,,,,,,,,,,,,
Sample,5890.015323,1,5890.015323,37.50982936,2.17596E-09,3.864811341,,,,,,,,,,,,,,,
Columns,60329.03322,19,3175.212274,20.2209441,3.02643E-47,1.612605792,,,,,,,,,,,,,,,
Interaction,2486.157425,19,130.8503908,0.833304425,0.666933192,1.612605792,,,,,,,,,,,,,,,
Within,62810.36649,400,157.0259162,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total,131515.5725,439,,,,,,,,,,,,,,,,,,,
