Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
486.390	0.02531353	482.5316	0	9						0.001691703	-0.002201843	-0.007980955	
486.412	0.04865254	482.5549	0	9						0.001761373	-0.002184961	-0.008048168	
486.430	0.06655829	482.5728	0	9						0.001895227	-0.002105065	-0.008099964	
486.452	0.08946747	482.5958	0	9						0.002042189	-0.001986821	-0.008127534	
486.475	0.1118022	482.6181	0	9						0.002255804	-0.001784853	-0.008066505	
486.494	0.1306747	482.637	0	9						0.002431527	-0.001652848	-0.008048016	
486.517	0.1534278	482.6597	0	9						0.002550907	-0.001642848	-0.007994357	
486.541	0.1772089	482.6835	0	9						0.002677777	-0.001604087	-0.007934741	
486.566	0.2020397	482.7083	0	9						0.002750535	-0.001549184	-0.007940986	
486.584	0.2207679	482.7271	0	9						0.002843679	-0.001510655	-0.007953325	
486.616	0.251674	482.758	0	9						0.002928996	-0.001474405	-0.007971179	
486.638	0.2743244	482.7806	0	9						0.00304731	-0.001496765	-0.008041472	
486.655	0.2914163	482.7977	0	9						0.003077212	-0.001565556	-0.008151047	
486.674	0.3108648	482.8172	0	9						0.003101677	-0.001613077	-0.008233058	
486.695	0.331769	482.8381	0	9						0.003118332	-0.001674211	-0.008342524	
486.719	0.3553379	482.8616	0	9						0.0031216	-0.001716071	-0.008453878	
486.741	0.3780911	482.8844	0	9						0.003133055	-0.001753691	-0.008512028	
486.763	0.3995149	482.9058	0	9						0.003154259	-0.001776571	-0.008466828	
486.786	0.4225943	482.9289	0	9						0.003176581	-0.001818968	-0.008368713	
486.809	0.446215	482.9525	0	9						0.003201104	-0.001890906	-0.008165581	
486.833	0.4696927	482.976	0	9						0.003193263	-0.001963821	-0.007908322	
486.853	0.4904594	482.9968	0	9						0.003181826	-0.002014784	-0.007693649	
486.874	0.5109007	483.0172	0	9						0.003173734	-0.002072355	-0.007484883	
486.901	0.5365437	483.0428	0	9						0.003147617	-0.002127076	-0.007253245	
486.940	0.5762461	483.0826	0	9						0.003108843	-0.002167371	-0.007060038	
486.960	0.5970346	483.1033	0	9						0.002990454	-0.002198649	-0.006695784	
486.982	0.6186085	483.1249	0	9						0.002927411	-0.002223671	-0.006595559	
487.002	0.6387522	483.1451	0	9						0.002851244	-0.002285105	-0.006545214	
487.022	0.6595751	483.1659	0	9						0.002770487	-0.0023451	-0.006502136	
487.042	0.6781232	483.1844	0	9						0.002701461	-0.002385717	-0.006442655	
487.064	0.7006477	483.2069	0	9						0.002639017	-0.002400036	-0.006383903	
487.086	0.7229125	483.2292	0	9						0.002616771	-0.002377144	-0.006346205	
487.111	0.7472534	483.2535	0	9						0.002594814	-0.002344389	-0.006310338	
487.135	0.7722441	483.2785	0	9						0.002576746	-0.002296972	-0.00628748	
487.153	0.790204	483.2965	0	9						0.002551668	-0.002256988	-0.006274263	
487.175	0.812118	483.3184	0	9						0.002526782	-0.002244906	-0.006270009	
487.196	0.8329266	483.3392	0	9						0.002446328	-0.002240709	-0.006266531	
487.213	0.8504255	483.3567	0	9						0.002381654	-0.002238036	-0.006275731	
487.237	0.8741046	483.3804	0	9						0.002305289	-0.002229025	-0.006309724	
487.259	0.8960313	483.4023	0	9						0.0021892	-0.00220541	-0.006375217	
487.278	0.9146091	483.4209	0	9						0.00205132	-0.002192662	-0.006444327	
487.299	0.9356638	483.442	0	9						0.001887243	-0.002166994	-0.006511785	
487.316	0.9528351	483.4591	0	9						0.001715977	-0.002139032	-0.006584479	
487.337	0.9734972	483.4798	0	9						0.00158114	-0.002153577	-0.006632772	
487.355	0.9922077	483.4985	0	9						0.001435671	-0.002162026	-0.006699805	
487.374	1.010687	483.517	0	9						0.001332416	-0.002161242	-0.006765594	
487.392	1.028545	483.5348	0	9						0.001240014	-0.002153906	-0.006853268	
487.412	1.048254	483.5545	0	9						0.00116194	-0.002155127	-0.006911531	
487.428	1.065072	483.5714	0	9						0.001108418	-0.002132164	-0.006994269	
487.448	1.085402	483.5917	0	9						0.001070947	-0.002123789	-0.007059123	
487.469	1.105915	483.6122	0	9						0.0009878902	-0.002142887	-0.007148138	
487.485	1.122508	483.6288	0	9						0.0008783564	-0.002169651	-0.007239934	
487.506	1.142893	483.6492	0	9						0.0008632727	-0.002177605	-0.007278432	
487.529	1.165365	483.6717	0	9						0.0008221231	-0.002195316	-0.007336374	
487.547	1.184322	483.6906	0	9						0.0007690117	-0.002164004	-0.007414234	
487.568	1.205283	483.7116	0	9						0.0007290356	-0.0021571	-0.007505896	
487.590	1.22732	483.7336	0	9						0.0007074252	-0.002138725	-0.007572422	
487.629	1.265282	483.7716	0	9						0.0006872341	-0.00213605	-0.007605485	
487.648	1.285217	483.7915	0	9						0.0006715134	-0.002091484	-0.007606577	
487.666	1.303018	483.8093	0	9						0.0006628223	-0.002081367	-0.007599059	
487.695	1.331162	483.8375	0	9						0.0006922334	-0.002060909	-0.007622245	
487.712	1.348757	483.855	0	9						0.0007388927	-0.002063965	-0.007659184	
487.732	1.368596	483.8749	0	9						0.0007834546	-0.002082092	-0.007686384	
487.753	1.38962	483.8959	0	9						0.000870157	-0.002099176	-0.007705637	
487.772	1.409119	483.9154	0	9						0.0009603202	-0.002100006	-0.00770546	
487.793	1.430305	483.9366	0	9						0.001049594	-0.002093287	-0.007693551	
487.812	1.448943	483.9552	0	9						0.001130395	-0.002074495	-0.007677132	
487.831	1.46778	483.9741	0	9						0.001198664	-0.002072653	-0.007623002	
487.848	1.485063	483.9914	0	9						0.001266262	-0.002065965	-0.007577973	
487.868	1.505141	484.0114	0	9						0.001315252	-0.002072094	-0.007538822	
487.886	1.523042	484.0293	0	9						0.001367431	-0.002091441	-0.007508839	
487.908	1.545109	484.0514	0	9						0.001434404	-0.002136644	-0.00751889	
487.929	1.565874	484.0722	0	9						0.001499608	-0.002196347	-0.007550665	
487.947	1.58374	484.09	0	9						0.001583965	-0.002250623	-0.007582086	
487.966	1.603451	484.1097	0	9						0.001676542	-0.002284138	-0.007619261	
487.989	1.625236	484.1315	0	9						0.001785807	-0.00231163	-0.007654797	
488.007	1.643792	484.1501	0	9						0.001909204	-0.002336442	-0.00769294	
488.032	1.668416	484.1747	0	9						0.001996845	-0.002341338	-0.007706654	
488.050	1.68619	484.1925	0	9						0.002118208	-0.002346111	-0.007697387	
488.075	1.712095	484.2184	0	9						0.002201699	-0.002294743	-0.007692157	
488.097	1.734105	484.2404	0	9						0.00231608	-0.002192456	-0.007676522	
488.118	1.754724	484.261	0	9						0.002394143	-0.002158208	-0.00767918	
488.142	1.779057	484.2853	0	9						0.002444734	-0.002170281	-0.00768548	
488.162	1.799165	484.3055	0	9						0.002481662	-0.002171695	-0.007701326	
488.194	1.829828	484.3361	0	9						0.002507012	-0.002185935	-0.007728714	
488.211	1.847375	484.3537	0	9						0.002507933	-0.002185612	-0.007811978	
488.230	1.867089	484.3734	0	9						0.002514384	-0.002175317	-0.007882399	
488.252	1.889403	484.3957	0	9						0.002507038	-0.002149581	-0.007963186	
488.292	1.928913	484.4352	0	9						0.002506312	-0.002127335	-0.008049108	
488.313	1.949328	484.4556	0	9						0.002510253	-0.002105405	-0.008191383	
488.334	1.971235	484.4775	0	9						0.002520218	-0.002066515	-0.008218631	
488.357	1.993434	484.4997	0	9						0.002535452	-0.001999162	-0.008230997	
488.380	2.016634	484.5229	0	9						0.002570428	-0.001936625	-0.008218211	
488.402	2.038965	484.5453	0	9						0.002606616	-0.001870502	-0.008252663	
488.427	2.063478	484.5698	0	9						0.00263906	-0.001824223	-0.008259892	
488.450	2.087006	484.5933	0	9						0.002697685	-0.001811469	-0.008239088	
488.470	2.106801	484.6131	0	9						0.002743258	-0.001792853	-0.008243001	
488.487	2.124238	484.6305	0	9						0.002788287	-0.001816137	-0.008229227	
488.506	2.142501	484.6488	0	9						0.002808998	-0.001819041	-0.008232194	
488.525	2.16247	484.6688	0	9						0.002834863	-0.001838758	-0.008233158	
488.543	2.179542	484.6858	0	9						0.002852205	-0.001863722	-0.008211819	
488.563	2.200153	484.7065	0	9						0.00286075	-0.001889687	-0.008178344	
488.584	2.220511	484.7268	0	9						0.00288377	-0.001875728	-0.008129737	
488.600	2.237184	484.7435	0	9						0.002924763	-0.001870735	-0.00808856	
488.621	2.258104	484.7644	0	9						0.003001466	-0.001848546	-0.008046712	
488.641	2.277981	484.7843	0	9						0.003134314	-0.00183005	-0.007991548	
488.658	2.294745	484.801	0	9						0.003336627	-0.001870399	-0.00788278	
488.677	2.313679	484.82	0	9						0.003516425	-0.001844098	-0.00785934	
488.695	2.332051	484.8383	0	9						0.003731295	-0.00189004	-0.007742359	
488.720	2.35593	484.8622	0	9						0.004062057	-0.00189649	-0.007646633	
488.749	2.386059	484.8923	0	9						0.004374825	-0.001919653	-0.007539272	
488.767	2.4037	484.91	0	9						0.004700099	-0.00196952	-0.007471321	
488.786	2.423337	484.9296	0	9						0.00499706	-0.002056991	-0.007372473	
488.805	2.44198	484.9483	0	9						0.005257343	-0.002086095	-0.007333177	
488.831	2.467693	484.974	0	9						0.005570619	-0.002283288	-0.007236409	
488.851	2.488132	484.9944	0	9						0.00581021	-0.002394686	-0.007157451	
488.873	2.508989	485.0153	0	9						0.006044336	-0.002498632	-0.006988021	
488.900	2.536224	485.0425	0	9						0.006226055	-0.002460207	-0.006919545	
488.920	2.55689	485.0632	0	9						0.006386325	-0.002500365	-0.006770528	
488.940	2.575672	485.082	0	9						0.006487489	-0.002563332	-0.006670973	
488.979	2.615406	485.1217	0	9						0.006572797	-0.002603924	-0.006591534	
488.999	2.635564	485.1418	0	9						0.006741367	-0.002763262	-0.006318929	
489.016	2.653525	485.1598	0	9						0.006817698	-0.002812667	-0.006171335	
489.035	2.671838	485.1781	0	9						0.006823745	-0.002838233	-0.006091671	
489.057	2.693698	485.2	0	9						0.00683162	-0.002824015	-0.006003531	
489.077	2.71382	485.2201	0	9						0.006799422	-0.00286071	-0.005937632	
489.095	2.731623	485.2379	0	9						0.006786276	-0.002863647	-0.005873772	
489.117	2.731623	485.2576	1	17	120	30	0.375	0.25	-0.2165064	0.006768229	-0.002870708	-0.005816658	
