Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
23.872	0.01863388	20.06152	0	0						0.01309809	0.08097933	-0.07345986	
23.890	0.03898904	20.08187	0	0						0.01309187	0.0810279	-0.07351907	
23.908	0.05654914	20.09944	0	0						0.01308763	0.0810665	-0.07357685	
23.924	0.07279249	20.11568	0	0						0.01310256	0.08109372	-0.07361297	
23.942	0.09024277	20.13313	0	0						0.01312556	0.08112116	-0.07363975	
23.958	0.1063937	20.14928	0	0						0.0131506	0.08115853	-0.07365578	
23.980	0.1272861	20.17017	0	0						0.01319393	0.08117572	-0.0736834	
23.999	0.1479234	20.19081	0	0						0.01324408	0.08122454	-0.07367574	
24.015	0.1642354	20.20712	0	0						0.01331618	0.08125666	-0.07370859	
24.034	0.1820417	20.22493	0	0						0.01338759	0.08126979	-0.07369941	
24.059	0.2070973	20.24998	0	0						0.01349598	0.08126365	-0.07372127	
24.076	0.2250512	20.26794	0	0						0.01367118	0.08126469	-0.07377862	
24.094	0.2427982	20.28568	0	0						0.01382107	0.08125064	-0.07383933	
24.113	0.2612302	20.30412	0	0						0.01395996	0.0812608	-0.07387561	
24.131	0.2792035	20.32209	0	0						0.01409482	0.08127513	-0.07393232	
24.148	0.2963026	20.33919	0	0						0.0142122	0.08128495	-0.07396398	
24.166	0.3145939	20.35748	0	0						0.01435367	0.08128399	-0.07398584	
24.183	0.3315954	20.37448	0	0						0.01448166	0.0812937	-0.07401038	
24.203	0.3514536	20.39434	0	0						0.01458833	0.08130246	-0.07406288	
24.219	0.3678151	20.4107	0	0						0.01474342	0.08134921	-0.0740903	
24.238	0.3864964	20.42938	0	0						0.01487551	0.08136752	-0.07414271	
24.255	0.4036116	20.4465	0	0						0.01500404	0.08139608	-0.07419405	
24.272	0.4207304	20.46362	0	0						0.01511776	0.08142587	-0.07421596	
24.288	0.4370568	20.47994	0	0						0.01527806	0.08144637	-0.07422367	
24.306	0.454543	20.49743	0	0						0.01537696	0.0814741	-0.07425584	
24.323	0.4714082	20.5143	0	0						0.01550982	0.08149833	-0.07429839	
24.341	0.4891156	20.532	0	0						0.01560426	0.08150204	-0.07433466	
24.359	0.5077179	20.5506	0	0						0.01579154	0.08151123	-0.07437368	
24.377	0.5254526	20.56834	0	0						0.01586634	0.08151567	-0.07441166	
24.394	0.5424644	20.58535	0	0						0.01601217	0.08156308	-0.07445219	
24.411	0.5596776	20.60256	0	0						0.01611951	0.08155764	-0.0744544	
24.428	0.5769098	20.6198	0	0						0.01621938	0.08159219	-0.07447271	
24.449	0.5973052	20.64019	0	0						0.01623942	0.08159078	-0.07449502	
24.466	0.6146295	20.65752	0	0						0.01633075	0.08160546	-0.07450014	
24.490	0.6376754	20.68056	0	0						0.01639543	0.08164809	-0.07448355	
24.507	0.6562133	20.6991	0	0						0.0164133	0.08164672	-0.07450034	
24.526	0.6745074	20.71739	0	0						0.01648939	0.08163548	-0.07447039	
24.543	0.6913967	20.73428	0	0						0.01656681	0.0816666	-0.0744546	
24.563	0.7112434	20.75413	0	0						0.01667295	0.0816354	-0.07442126	
24.580	0.7286471	20.77153	0	0						0.01671393	0.08164699	-0.07443169	
24.598	0.7462526	20.78914	0	0						0.0167112	0.08160803	-0.0744348	
24.615	0.76332	20.80621	0	0						0.01678684	0.08160137	-0.07442322	
