Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
243.379	0.02468306	239.3819	0	5						0.03656688	-0.01867997	-0.0008359784	
243.399	0.04664534	239.4039	0	5						0.0358746	-0.01792603	-0.001138905	
243.425	0.07053867	239.4278	0	5						0.0358083	-0.01722329	-0.001342412	
243.445	0.09249818	239.4497	0	5						0.03549697	-0.01640667	-0.001412256	
243.466	0.1130501	239.4703	0	5						0.03532946	-0.01560504	-0.001670571	
243.488	0.1343684	239.4916	0	5						0.03537044	-0.01551202	-0.002175082	
243.508	0.1554868	239.5127	0	5						0.03554325	-0.01494584	-0.002521927	
243.531	0.1784739	239.5357	0	5						0.03554065	-0.0142713	-0.002807053	
243.554	0.2019449	239.5592	0	5						0.03592024	-0.01364413	-0.003090101	
243.576	0.2232399	239.5805	0	5						0.03650793	-0.01276733	-0.003361334	
243.599	0.2464616	239.6037	0	5						0.03694684	-0.01211546	-0.003487492	
243.621	0.269248	239.6265	0	5						0.03730155	-0.01147268	-0.003842416	
243.644	0.291699	239.6489	0	5						0.03743191	-0.01076741	-0.003927459	
243.667	0.3129181	239.6702	0	5						0.03771536	-0.009876193	-0.003816468	
243.688	0.3351625	239.6924	0	5						0.03756433	-0.009717957	-0.00380639	
243.723	0.3702566	239.7275	0	5						0.03738193	-0.009069157	-0.0037961	
243.739	0.3871905	239.7444	0	5						0.0371611	-0.008443085	-0.003479696	
243.762	0.4082702	239.7655	0	5						0.03701431	-0.008305822	-0.003475499	
243.777	0.42409	239.7813	0	5						0.03673013	-0.007947935	-0.003409867	
243.792	0.4398585	239.7971	0	5						0.03669772	-0.007976128	-0.003464378	
243.808	0.4557985	239.813	0	5						0.0367477	-0.007857366	-0.003502261	
243.827	0.4745635	239.8318	0	5						0.03673665	-0.007891349	-0.003598421	
243.842	0.4894348	239.8467	0	5						0.03678745	-0.008071925	-0.003813287	
243.859	0.5058947	239.8631	0	5						0.03681836	-0.008172689	-0.003895108	
243.874	0.5222154	239.8794	0	5						0.03688358	-0.008428483	-0.003991225	
243.893	0.5403831	239.8976	0	5						0.03690635	-0.008733365	-0.004136824	
243.912	0.5597807	239.917	0	5						0.03710312	-0.009090013	-0.004380156	
243.933	0.5806952	239.9379	0	5						0.0371307	-0.00926696	-0.00441806	
243.954	0.6012254	239.9585	0	5						0.03738479	-0.009575896	-0.004508862	
243.976	0.6240833	239.9813	0	5						0.0376145	-0.009758761	-0.004523184	
243.998	0.6456134	240.0028	0	5						0.03774793	-0.009946998	-0.004305077	
244.020	0.667815	240.0251	0	5						0.03801049	-0.01001779	-0.004058624	
244.043	0.6904039	240.0476	0	5						0.03806936	-0.01003095	-0.003942292	
244.065	0.7122619	240.0695	0	5						0.03814478	-0.009886743	-0.003892764	
244.089	0.7363827	240.0936	0	5						0.03820092	-0.009801946	-0.003793633	
244.109	0.7571961	240.1144	0	5						0.03813475	-0.009697271	-0.003778864	
244.131	0.7785852	240.1358	0	5						0.03818142	-0.009563256	-0.003709428	
244.156	0.8036839	240.1609	0	5						0.03813529	-0.009638357	-0.003788528	
244.178	0.8243358	240.1816	0	5						0.03810215	-0.009814586	-0.003801393	
244.199	0.8457967	240.203	0	5						0.0380817	-0.01004037	-0.003819085	
244.220	0.8678743	240.2251	0	5						0.0379354	-0.01059363	-0.003842066	
244.250	0.8975545	240.2548	0	5						0.03783198	-0.0112344	-0.00370946	
244.268	0.9155168	240.2728	0	5						0.03769233	-0.0116589	-0.003441496	
244.286	0.934159	240.2914	0	5						0.03746802	-0.01230687	-0.003268884	
244.308	0.9559059	240.3131	0	5						0.03744872	-0.01248901	-0.0032609	
244.331	0.9787571	240.336	0	5						0.03733504	-0.0128213	-0.003150034	
244.353	1.000383	240.3576	0	5						0.03716936	-0.01318215	-0.003006384	
244.379	1.026355	240.3836	0	5						0.03711635	-0.01334914	-0.003021978	
244.401	1.048053	240.4053	0	5						0.03700845	-0.01348752	-0.002812772	
244.420	1.067526	240.4248	0	5						0.03687631	-0.01358619	-0.002738119	
244.442	1.090147	240.4474	0	5						0.03668138	-0.01349106	-0.002699223	
244.465	1.112213	240.4695	0	5						0.03654422	-0.01347368	-0.002538734	
244.487	1.134135	240.4914	0	5						0.03635396	-0.01348397	-0.002344007	
244.510	1.158062	240.5153	0	5						0.03616877	-0.01344428	-0.002245101	
244.532	1.179998	240.5372	0	5						0.03596827	-0.01318391	-0.002099544	
244.555	1.20217	240.5594	0	5						0.03596685	-0.01308058	-0.002054346	
244.577	1.224044	240.5813	0	5						0.03600176	-0.01299435	-0.00201306	
244.599	1.246171	240.6034	0	5						0.03610519	-0.01297005	-0.002025842	
244.622	1.269274	240.6265	0	5						0.03618687	-0.01279317	-0.00200084	
244.642	1.289728	240.647	0	5						0.03634047	-0.01268599	-0.001948347	
244.666	1.312864	240.6701	0	5						0.03645461	-0.01273266	-0.001973998	
244.689	1.336788	240.694	0	5						0.03662042	-0.01269158	-0.001841537	
244.711	1.358566	240.7158	0	5						0.03680108	-0.01276316	-0.001834282	
244.733	1.38073	240.738	0	5						0.03685176	-0.01286064	-0.001717147	
244.754	1.401701	240.7589	0	5						0.03687249	-0.01295702	-0.001675213	
244.793	1.425729	240.783	0	5						0.03679803	-0.01298068	-0.001685753	
244.810	1.45721	240.8144	0	5						0.03676348	-0.0129015	-0.00167591	
244.829	1.476874	240.8341	0	5						0.03675281	-0.01278415	-0.001701494	
244.853	1.501212	240.8584	0	5						0.03680515	-0.0125881	-0.001720557	
244.872	1.51956	240.8768	0	5						0.03697508	-0.01238565	-0.001884867	
244.888	1.53579	240.893	0	5						0.0371357	-0.01165182	-0.002017578	
244.907	1.554231	240.9115	0	5						0.03749099	-0.01133542	-0.002111984	
244.922	1.569459	240.9267	0	5						0.03786727	-0.0109573	-0.002188378	
244.938	1.58548	240.9427	0	5						0.03854468	-0.0101236	-0.002311231	
244.954	1.601873	240.9591	0	5						0.03953695	-0.00965147	-0.002210919	
244.972	1.619438	240.9767	0	5						0.04162229	-0.008247105	-0.002157415	
244.990	1.637175	240.9944	0	5						0.04149789	-0.008180063	-0.002094917	
245.011	1.658195	241.0154	0	5						0.04308159	-0.006505015	-0.001872412	
245.029	1.677137	241.0344	0	5						0.04382282	-0.006155367	-0.001648286	
245.047	1.69504	241.0523	0	5						0.04468953	-0.004510425	-0.001437093	
245.071	1.717401	241.0746	0	5						0.04487919	-0.003982225	-0.001462124	
245.092	1.739578	241.0968	0	5						0.04498687	-0.003269008	-0.001508326	
245.112	1.759615	241.1169	0	5						0.0450113	-0.002502445	-0.001500797	
245.134	1.781431	241.1387	0	5						0.04498396	-0.00208725	-0.001333396	
245.156	1.8034	241.1606	0	5						0.04511761	-0.001465163	-0.00147226	
245.177	1.824648	241.1819	0	5						0.04519572	-0.0009988568	-0.001511216	
245.202	1.84905	241.2063	0	5						0.04541764	-0.0004752078	-0.001512084	
245.220	1.868203	241.2254	0	5						0.04541761	-4.390916E-05	-0.001641871	
245.243	1.890716	241.248	0	5						0.04539142	0.0003217926	-0.001539626	
245.265	1.912523	241.2698	0	5						0.04480777	0.0006568334	-0.001369785	
245.287	1.933826	241.2911	0	5						0.04441527	0.0009132322	-0.000954228	
245.318	1.965659	241.3229	0	5						0.04277543	0.001808079	-0.0004880441	
245.339	1.986835	241.3441	0	5						0.04159353	0.003457165	-0.0002319521	
245.357	2.004966	241.3622	0	5						0.04024868	0.004632834	0.0001376078	
245.376	2.022792	241.38	0	5						0.03861383	0.005805213	0.0001707641	
245.398	2.046053	241.4033	0	5						0.03778165	0.007054879	0.0003066286	
245.419	2.066096	241.4233	0	5						0.03815414	0.006784565	0.0006506216	
245.442	2.089283	241.4465	0	5						0.03805809	0.006814564	0.0007243096	
245.464	2.111163	241.4684	0	5						0.0382059	0.006613635	0.0008320941	
245.490	2.137141	241.4944	0	5						0.03851607	0.006182306	0.0007154297	
245.511	2.158912	241.5161	0	5						0.03919435	0.005437427	0.0003083889	
245.531	2.17845	241.5357	0	5						0.03981686	0.004343884	-0.0005070224	
245.555	2.201742	241.559	0	5						0.04060278	0.003791353	-0.00135704	
245.576	2.223391	241.5806	0	5						0.04196515	0.002870761	-0.002340359	
245.597	2.244346	241.6016	0	5						0.04334725	0.001657362	-0.003087241	
245.621	2.268889	241.6261	0	5						0.04479739	0.001060775	-0.004279014	
245.642	2.289394	241.6466	0	5						0.04620764	0.000484233	-0.005146303	
245.665	2.31223	241.6695	0	5						0.04794433	-0.0001219911	-0.006349717	
245.688	2.335504	241.6927	0	5						0.04940555	-0.0001493923	-0.007439166	
245.709	2.356251	241.7135	0	5						0.05048214	-0.0004372606	-0.008116682	
245.732	2.379041	241.7363	0	5						0.05229447	-0.0007291245	-0.008519707	
245.753	2.401293	241.7585	0	5						0.05400714	-0.002403644	-0.007482325	
245.778	2.425515	241.7827	0	5						0.05556014	-0.003613863	-0.006538368	
245.800	2.447246	241.8045	0	5						0.05585143	-0.004675318	-0.005271931	
245.822	2.46924	241.8265	0	5						0.05605274	-0.00527221	-0.004060456	
245.843	2.49059	241.8478	0	5						0.05571106	-0.005662745	-0.002585824	
