Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
372.979	0.02878616	368.8242	0	1						2.029958	359.8615	2.053946	
373.000	0.05021351	368.8456	0	1						2.067132	359.8543	2.025973	
373.023	0.0731974	368.8686	0	1						2.147303	359.8393	1.964663	
373.042	0.0920209	368.8875	0	1						2.15657	359.8055	1.965231	
373.061	0.1113327	368.9068	0	1						2.198749	359.75	1.925405	
373.084	0.1345177	368.93	0	1						2.221405	359.6937	1.913263	
373.107	0.1564531	368.9519	0	1						2.232504	359.6789	1.896185	
373.127	0.1773246	368.9727	0	1						2.248446	359.6365	1.854317	
373.149	0.2000611	368.9955	0	1						2.264844	359.602	1.839238	
373.173	0.2238956	369.0193	0	1						2.282338	359.5928	1.825619	
373.197	0.2474448	369.0429	0	1						2.280497	359.593	1.822969	
373.220	0.27023	369.0657	0	1						2.286519	359.6056	1.817396	
373.240	0.2903217	369.0858	0	1						2.276251	359.6274	1.818832	
373.263	0.3136678	369.1091	0	1						2.253878	359.6495	1.81348	
373.283	0.3339306	369.1294	0	1						2.23018	359.7009	1.812994	
373.308	0.3580771	369.1535	0	1						2.220974	359.726	1.805551	
373.328	0.3786906	369.1741	0	1						2.212064	359.7277	1.81187	
373.352	0.4028826	369.1983	0	1						2.196969	359.7462	1.809441	
373.374	0.4243598	369.2198	0	1						2.144758	359.7766	1.807877	
373.398	0.4473421	369.2428	0	1						2.111886	359.783	1.794359	
373.419	0.4696974	369.2651	0	1						2.079687	359.7837	1.784162	
373.440	0.4904654	369.2859	0	1						2.039912	359.8175	1.77102	
373.465	0.514892	369.3103	0	1						2.012803	359.8294	1.772909	
373.485	0.5350402	369.3305	0	1						1.966594	359.8586	1.765891	
373.507	0.5582461	369.3537	0	1						1.94275	359.8952	1.767161	
373.543	0.5938116	369.3893	0	1						1.864187	359.9655	1.762026	
373.562	0.612675	369.4081	0	1						1.658289	0.01334024	1.775138	
373.579	0.6301979	369.4256	0	1						1.592944	0.09763791	1.791202	
373.597	0.6478168	369.4432	0	1						1.495612	0.1866738	1.786236	
373.617	0.667654	369.4631	0	1						1.405373	0.2093362	1.806196	
373.635	0.6860532	369.4815	0	1						1.415957	0.2928046	1.821876	
373.654	0.705043	369.5005	0	1						1.388729	0.3196421	1.822212	
373.673	0.7241194	369.5196	0	1						1.347665	0.3894928	1.856267	
373.691	0.7416747	369.5371	0	1						1.317011	0.4817269	1.870378	
373.711	0.7612445	369.5567	0	1						1.296038	0.4736812	1.84551	
373.736	0.7858201	369.5813	0	1						1.264688	0.5137382	1.85548	
373.758	0.8078503	369.6033	0	1						1.21968	0.5529643	1.838196	
373.779	0.8290948	369.6245	0	1						1.213707	0.5713003	1.822264	
373.799	0.8495767	369.645	0	1						1.191546	0.6121388	1.79971	
373.820	0.8706197	369.666	0	1						1.121166	0.6192991	1.779692	
373.841	0.8904999	369.6859	0	1						1.06075	0.6606077	1.759962	
373.862	0.9123532	369.7078	0	1						1.007681	0.6729048	1.733964	
373.885	0.9357128	369.7311	0	1						0.9460394	0.7468443	1.701114	
373.906	0.956578	369.752	0	1						0.8700857	0.7716084	1.675806	
373.931	0.9809366	369.7764	0	1						0.7814062	0.8073741	1.655938	
373.950	1.000998	369.7964	0	1						0.7203599	0.8728395	1.631311	
373.976	1.026203	369.8216	0	1						0.6967956	0.8644367	1.62595	
373.995	1.045643	369.8411	0	1						0.6553577	0.8784051	1.623682	
374.018	1.068169	369.8636	0	1						0.6152387	0.8769179	1.608297	
374.040	1.090628	369.8861	0	1						0.5655754	0.877763	1.588658	
374.061	1.111776	369.9072	0	1						0.4954285	0.8633581	1.580017	
374.087	1.137166	369.9326	0	1						0.4770041	0.8548774	1.561544	
374.108	1.158168	369.9536	0	1						0.4433811	0.8547115	1.518785	
374.130	1.180205	369.9756	0	1						0.4006441	0.8859054	1.466915	
374.154	1.203906	369.9993	0	1						0.3297936	0.9104705	1.415022	
374.173	1.223132	370.0186	0	1						0.2835133	0.9336104	1.390532	
374.197	1.247122	370.0426	0	1						0.2945959	0.9416432	1.333779	
374.219	1.269383	370.0648	0	1						0.3305215	0.9421422	1.270993	
374.240	1.290968	370.0864	0	1						0.3811727	0.9113439	1.196221	
374.264	1.315079	370.1105	0	1						0.4299417	0.8442253	1.137268	
374.285	1.335373	370.1308	0	1						0.4364004	0.7325992	1.024578	
374.307	1.357865	370.1533	0	1						0.4912727	0.7042975	0.9744378	
374.330	1.380607	370.1761	0	1						0.5075763	0.6403092	0.9428322	
374.353	1.403556	370.199	0	1						0.5376264	0.5268469	0.8881274	
374.376	1.426284	370.2217	0	1						0.5494761	0.4049501	0.8259247	
374.398	1.448312	370.2437	0	1						0.540162	0.2917422	0.7764252	
374.417	1.467772	370.2632	0	1						0.5243125	0.2513186	0.729504	
374.442	1.492014	370.2874	0	1						0.4989679	0.1653771	0.6986741	
374.464	1.513857	370.3093	0	1						0.5012575	0.1202368	0.6169857	
374.503	1.5528	370.3482	0	1						0.467414	0.01408578	0.5567875	
374.522	1.571963	370.3674	0	1						0.4177183	359.9019	0.537084	
374.541	1.591063	370.3865	0	1						0.396076	359.8091	0.5455974	
374.561	1.610726	370.4062	0	1						0.3902871	359.7054	0.5191627	
374.580	1.63038	370.4258	0	1						0.3393315	359.5918	0.5033096	
374.600	1.650078	370.4455	0	1						0.3713045	359.4842	0.5025269	
374.619	1.669592	370.465	0	1						0.348713	359.3596	0.5295793	
374.638	1.688694	370.4841	0	1						0.3258886	359.2546	0.5341371	
374.659	1.709447	370.5049	0	1						0.325318	359.2059	0.5601441	
374.679	1.729476	370.5249	0	1						0.3255622	359.07	0.5515515	
374.697	1.747556	370.543	0	1						0.3146045	359.0426	0.5698439	
374.715	1.765751	370.5612	0	1						0.3129417	358.9909	0.5835346	
374.736	1.786506	370.5819	0	1						0.2841589	358.9128	0.5893867	
374.755	1.806217	370.6017	0	1						0.2581495	358.8403	0.5913892	
374.774	1.824708	370.6201	0	1						0.2407104	358.7867	0.5914854	
374.794	1.844723	370.6402	0	1						0.2399328	358.8102	0.5809304	
374.816	1.86683	370.6623	0	1						0.2337591	358.7943	0.537281	
374.839	1.889542	370.685	0	1						0.2427716	358.8151	0.495707	
374.859	1.90994	370.7054	0	1						0.3040841	358.8455	0.4233837	
374.885	1.934982	370.7304	0	1						0.4133682	358.92	0.2991231	
374.906	1.956048	370.7515	0	1						0.4263234	359.0394	0.175763	
374.928	1.978649	370.7741	0	1						0.5452219	359.0656	0.09771653	
374.952	2.002425	370.7979	0	1						0.5777222	359.0969	0.04414754	
374.975	2.024532	370.82	0	1						0.5786893	359.141	359.9778	
374.995	2.045692	370.8411	0	1						0.6439648	359.155	359.8658	
375.017	2.067514	370.8629	0	1						0.6911981	359.2001	359.7726	
375.038	2.089121	370.8846	0	1						0.6782974	359.2291	359.7238	
375.063	2.11374	370.9092	0	1						0.6875436	359.2013	359.6472	
375.084	2.13468	370.9301	0	1						0.6695834	359.1919	359.5677	
375.110	2.160532	370.956	0	1						0.7097043	359.1857	359.5299	
375.131	2.180969	370.9764	0	1						0.704865	359.1992	359.5	
375.153	2.203183	370.9986	0	1						0.7401625	359.2003	359.4565	
375.176	2.226958	371.0224	0	1						0.7568517	359.1812	359.4606	
375.197	2.247112	371.0425	0	1						0.7652324	359.1946	359.4381	
375.221	2.271472	371.0669	0	1						0.74366	359.1941	359.4368	
375.241	2.291111	371.0865	0	1						0.7297215	359.2034	359.4445	
375.263	2.313797	371.1092	0	1						0.6781043	359.1783	359.4534	
375.287	2.337457	371.1329	0	1						0.6044616	359.1685	359.4945	
375.307	2.357973	371.1534	0	1						0.5299058	359.1614	359.5375	
375.330	2.380564	371.176	0	1						0.389062	359.1512	359.59	
375.352	2.403218	371.1986	0	1						0.3202932	359.1235	359.6016	
375.375	2.424711	371.2202	0	1						0.211852	359.1618	359.6247	
375.417	2.465576	371.261	0	1						0.1098556	359.1724	359.6559	
375.436	2.485926	371.2814	0	1						0.03839751	359.2656	359.7054	
375.455	2.505694	371.3011	0	1						359.9782	359.3546	359.712	
375.473	2.524271	371.3197	0	1						359.9151	359.451	359.7254	
375.494	2.544642	371.3401	0	1						359.873	359.5476	359.7539	
375.515	2.56507	371.3605	0	1						359.8322	359.6515	359.8026	
375.532	2.583241	371.3787	0	1						359.8142	359.7458	359.8501	
375.552	2.602273	371.3977	0	1						359.776	359.7884	359.868	
375.574	2.624397	371.4198	0	1						359.7254	359.7992	359.9034	
375.598	2.647573	371.443	0	1						359.7128	359.8551	359.9707	
375.618	2.668094	371.4635	0	1						359.6719	359.909	0.09671852	
375.642	2.692335	371.4878	0	1						359.6525	359.8578	0.1589562	
375.662	2.713157	371.5086	0	1						359.6506	359.8377	0.2394904	
375.686	2.737019	371.5324	0	1						359.6306	359.7622	0.3175834	
375.705	2.756388	371.5518	0	1						359.6333	359.7509	0.3755006	
375.725	2.776185	371.5716	0	1						359.6677	359.7036	0.401069	
375.747	2.796365	371.5918	0	1						359.6867	359.6761	0.4327998	
375.764	2.81454	371.61	0	1						359.6914	359.6477	0.4560782	
