Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
79.564	0.02684364	75.43439	0	1						2.910715	359.7991	1.479666	
79.585	0.04932304	75.45687	0	1						2.818097	359.894	1.441985	
79.606	0.06889834	75.47645	0	1						2.731974	0.02810339	1.392239	
79.626	0.09048451	75.49803	0	1						2.66595	0.1225747	1.383124	
79.650	0.1139646	75.52151	0	1						2.570985	0.2166644	1.306971	
79.673	0.1372709	75.54482	0	1						2.490394	0.2627003	1.306188	
79.694	0.1580396	75.56559	0	1						2.362306	0.376328	1.261798	
79.724	0.1868218	75.59437	0	1						2.275879	0.4248551	1.289522	
79.745	0.2093585	75.61691	0	1						2.115145	0.5342848	1.232874	
79.766	0.2299404	75.63749	0	1						2.049795	0.5380363	1.186597	
79.786	0.2494162	75.65697	0	1						1.927903	0.6367384	1.201525	
79.806	0.2696615	75.67721	0	1						1.835682	0.6608742	1.144993	
79.828	0.2910174	75.69856	0	1						1.800404	0.6827379	1.156964	
79.851	0.3140886	75.72163	0	1						1.764026	0.7645453	1.127574	
79.872	0.335333	75.74288	0	1						1.688847	0.773208	1.111622	
79.896	0.3594602	75.76701	0	1						1.635417	0.8272938	1.102308	
79.917	0.3809156	75.78847	0	1						1.600793	0.8527774	1.094275	
79.941	0.4049831	75.81253	0	1						1.535394	0.8546984	1.087925	
79.963	0.427278	75.83482	0	1						1.527479	0.8473741	1.081265	
79.983	0.4473021	75.85485	0	1						1.488999	0.8249162	1.087315	
80.006	0.47029	75.87784	0	1						1.442408	0.7849281	1.080914	
80.030	0.4943402	75.90189	0	1						1.3707	0.7169197	1.075002	
80.052	0.5153839	75.92294	0	1						1.325698	0.6521357	1.093831	
80.074	0.5380541	75.9456	0	1						1.289235	0.5698708	1.074404	
80.096	0.5596015	75.96715	0	1						1.251898	0.4887332	1.093181	
80.120	0.5835249	75.99107	0	1						1.166507	0.4272629	1.098946	
80.141	0.6048136	76.01236	0	1						1.091077	0.3117866	1.089783	
80.162	0.6257293	76.03328	0	1						1.037636	0.2876826	1.080286	
80.188	0.6511377	76.05869	0	1						1.006057	0.2727185	1.078157	
80.209	0.6725252	76.08007	0	1						0.9407791	0.2418849	1.051732	
80.226	0.6901323	76.09768	0	1						0.9163918	0.230259	1.046587	
80.246	0.7101619	76.11771	0	1						0.9016378	0.2420827	1.027968	
80.276	0.7406136	76.14816	0	1						0.8801425	0.248811	1.00992	
80.295	0.7595971	76.16714	0	1						0.8517389	0.294175	0.9728155	
80.317	0.7809833	76.18853	0	1						0.8428027	0.330892	0.940969	
80.336	0.80067	76.20822	0	1						0.8534681	0.3693355	0.9061211	
80.356	0.8206115	76.22816	0	1						0.8492347	0.4041607	0.8600659	
80.374	0.8382048	76.24575	0	1						0.8561348	0.4349967	0.8199399	
80.394	0.8582067	76.26575	0	1						0.8597139	0.4510444	0.797702	
80.413	0.8773558	76.2849	0	1						0.8847159	0.4598989	0.7584625	
80.432	0.895962	76.30351	0	1						0.8993465	0.484481	0.7315503	
80.452	0.9155764	76.32313	0	1						0.9329944	0.473495	0.685514	
80.472	0.9360192	76.34357	0	1						0.9637845	0.4721941	0.6659626	
80.495	0.9591845	76.36673	0	1						1.003842	0.4626929	0.6345531	
80.518	0.9813352	76.38889	0	1						1.043312	0.4587095	0.6195012	
80.540	1.002955	76.41051	0	1						1.062255	0.4471955	0.5942364	
80.562	1.025652	76.4332	0	1						1.104777	0.4320708	0.5849664	
80.584	1.04799	76.45554	0	1						1.142464	0.4025979	0.5824153	
80.607	1.070252	76.4778	0	1						1.160674	0.3893445	0.5821474	
80.630	1.093334	76.50089	0	1						1.195537	0.3894581	0.5837678	
80.650	1.114209	76.52176	0	1						1.210632	0.3654557	0.600869	
80.673	1.136882	76.54443	0	1						1.192921	0.3190537	0.6409951	
80.696	1.160726	76.56828	0	1						1.160772	0.2426615	0.7160314	
80.717	1.181749	76.58929	0	1						1.139981	0.1588438	0.758453	
80.740	1.203416	76.61096	0	1						1.084343	0.0882596	0.7465823	
80.763	1.22682	76.63437	0	1						1.049916	0.07756346	0.7625836	
80.785	1.24924	76.65679	0	1						0.960774	0.03008207	0.8092791	
80.810	1.273603	76.68115	0	1						0.9130657	0.007376564	0.8003527	
80.829	1.293366	76.70091	0	1						0.8633521	0.002921277	0.812911	
80.854	1.317972	76.72552	0	1						0.8170353	0.02880832	0.8214127	
80.877	1.317972	76.74634	1	5	180	0	2.622683E-08	0	-0.3	-0.003199031	-0.001138841	-0.08721595	
80.877	1.338786	76.74634	0	5						0.7751657	0.08971717	0.8162893	
80.895	1.359463	76.76701	0	5						0.7356101	0.134942	0.801373	
80.920	1.38386	76.79141	0	5						0.7043377	0.2205864	0.7604101	
80.942	1.405617	76.81316	0	5						0.6549212	0.3567697	0.7455182	
80.965	1.429035	76.83659	0	5						0.6257811	0.4918756	0.6981478	
80.986	1.449929	76.85748	0	5						0.6357029	0.6139163	0.6513447	
81.006	1.470326	76.87788	0	5						0.5780035	0.6870753	0.6116956	
81.034	1.498106	76.90565	0	5						0.5133065	0.8211025	0.5734811	
81.055	1.519296	76.92684	0	5						0.4876443	0.9109678	0.5202467	
81.075	1.538107	76.94566	0	5						0.4126343	1.043691	0.4279542	
81.095	1.558783	76.96633	0	5						0.4080432	1.107106	0.407323	
81.116	1.579473	76.98702	0	5						0.3681102	1.361856	0.3204316	
81.148	1.611413	77.01896	0	5						0.2742486	1.635371	0.2339976	
81.166	1.629678	77.03722	0	5						0.2792813	2.008874	0.1735698	
81.186	1.649197	77.05675	0	5						0.2826076	2.458521	0.1005824	
81.205	1.66885	77.0764	0	5						0.2654546	3.040085	0.01873279	
81.228	1.691881	77.09943	0	5						0.3085079	3.68827	359.9514	
81.253	1.7165	77.12405	0	5						0.3315303	4.524952	359.8519	
81.273	1.736024	77.14357	0	5						0.3944088	5.405607	359.7564	
81.296	1.759811	77.16736	0	5						0.455317	6.222723	359.6948	
81.319	1.782954	77.19051	0	5						0.4791348	6.901563	359.7918	
81.340	1.804861	77.21241	0	5						0.510463	7.395113	359.8709	
81.364	1.828802	77.23635	0	5						0.5840524	7.514937	0.02023608	
81.386	1.849826	77.25738	0	5						0.5554575	7.040116	0.1299662	
81.407	1.871241	77.27879	0	5						0.4990796	5.954337	0.2534202	
81.431	1.895261	77.30281	0	5						0.5216613	4.491942	0.3536363	
81.453	1.917163	77.32471	0	5						0.5663448	2.703452	0.5338187	
81.478	1.941662	77.34921	0	5						0.6217018	0.9091324	0.7592988	
81.497	1.960834	77.36839	0	5						0.711161	359.0096	1.00348	
81.521	1.983598	77.39114	0	5						0.7167214	357.1516	1.171485	
81.542	2.006148	77.4137	0	5						0.8553967	355.347	1.419307	
81.564	2.027606	77.43516	0	5						0.9465541	353.6219	1.683621	
81.588	2.052086	77.45963	0	5						0.986231	351.9997	1.887098	
81.609	2.072906	77.48045	0	5						1.011292	350.4367	2.044971	
81.634	2.096809	77.50436	0	5						1.010249	349.0086	2.178487	
81.654	2.117594	77.52515	0	5						1.001782	347.7156	2.288686	
81.679	2.141986	77.54954	0	5						0.9526274	346.439	2.416628	
81.700	2.164508	77.57206	0	5						0.8738168	345.1895	2.530476	
81.721	2.184959	77.59251	0	5						0.7824038	344.0034	2.609622	
81.743	2.207137	77.61469	0	5						0.7119625	342.877	2.634756	
81.764	2.228416	77.63596	0	5						0.5937991	341.83	2.691203	
81.787	2.251015	77.65856	0	5						0.4183443	340.7028	2.681691	
81.810	2.273371	77.68092	0	5						0.2698945	339.6079	2.612561	
81.831	2.294688	77.70223	0	5						0.1472066	338.4855	2.543793	
81.854	2.317812	77.72536	0	5						0.005537522	337.3391	2.463808	
81.878	2.341589	77.74914	0	5						359.801	336.1925	2.321207	
81.897	2.361354	77.76891	0	5						359.6333	335.0227	2.155661	
81.925	2.388072	77.79562	0	5						359.4644	333.7527	2.005258	
81.944	2.407768	77.81532	0	5						359.3743	332.3084	1.900441	
81.966	2.429706	77.83726	0	5						359.2574	330.8199	1.814718	
81.999	2.462533	77.87008	0	5						359.2006	329.2778	1.733388	
82.020	2.483077	77.89063	0	5						359.1698	327.7498	1.656006	
82.038	2.50227	77.90982	0	5						359.2025	326.1859	1.588873	
82.058	2.52147	77.92902	0	5						359.2575	324.6302	1.581731	
82.076	2.540784	77.94833	0	5						359.3507	323.0623	1.677806	
82.096	2.560352	77.9679	0	5						359.5091	321.4766	1.89996	
82.117	2.581108	77.98866	0	5						359.6971	319.8238	2.227728	
82.140	2.604451	78.012	0	5						359.9377	318.1343	2.618498	
82.163	2.62711	78.03466	0	5						0.2407263	316.3629	3.093149	
82.185	2.648484	78.05603	0	5						0.6485598	314.6752	3.51779	
82.207	2.670284	78.07784	0	5						1.041134	313.0366	3.921603	
82.232	2.695221	78.10277	0	5						1.439015	311.3928	4.291692	
82.252	2.715635	78.12318	0	5						1.842014	309.9059	4.656518	
82.276	2.739949	78.1475	0	5						2.176204	308.553	5.092123	
82.299	2.762703	78.17025	0	5						2.477968	307.1918	5.534782	
82.322	2.785367	78.19292	0	5						2.7624	305.8935	5.944543	
82.345	2.808824	78.21637	0	5						3.05139	304.7159	6.241632	
82.367	2.830227	78.23778	0	5						3.304338	303.6124	6.497614	
82.389	2.853595	78.26115	0	5						3.575768	302.5095	6.766716	
82.409	2.873079	78.28062	0	5						3.835849	301.5015	7.096815	
82.433	2.89675	78.3043	0	5						4.13007	300.4608	7.420876	
82.456	2.919975	78.32752	0	5						4.412527	299.4537	7.648438	
82.475	2.939416	78.34696	0	5						4.745132	298.554	7.851112	
82.501	2.964555	78.3721	0	5						5.146393	297.6629	8.000557	
82.520	2.983523	78.39108	0	5						5.479527	296.8434	8.03134	
82.545	3.009389	78.41694	0	5						5.84033	296.11	8.055968	
82.566	3.030307	78.43786	0	5						6.199134	295.388	8.009743	
82.587	3.050774	78.45832	0	5						6.542067	294.7129	7.956244	
82.611	3.074674	78.48222	0	5						6.918235	294.0698	7.855946	
82.632	3.09584	78.50339	0	5						7.134528	293.4429	7.765302	
82.655	3.117829	78.52538	0	5						7.374515	292.7885	7.633106	
82.678	3.141752	78.5493	0	5						7.568751	292.115	7.389483	
82.700	3.163142	78.57069	0	5						7.727326	291.4919	7.15944	
82.723	3.187062	78.59461	0	5						7.788822	290.815	6.865469	
82.744	3.207593	78.61514	0	5						7.827784	290.1649	6.542342	
82.765	3.229047	78.6366	0	5						7.770967	289.5392	6.227023	
82.788	3.25235	78.6599	0	5						7.70264	288.9108	5.895684	
82.809	3.272823	78.68037	0	5						7.562285	288.2719	5.610725	
82.835	3.29868	78.70623	0	5						7.354977	287.6765	5.305919	
82.854	3.318233	78.72578	0	5						7.181191	287.0529	4.951845	
82.889	3.352861	78.76041	0	5						6.944402	286.491	4.649852	
82.910	3.373586	78.78114	0	5						6.69041	285.8675	4.383748	
82.928	3.392132	78.79968	0	5						6.418225	285.2365	4.090887	
