Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
179.052	0.02365783	174.9399	0	2						-0.002662244	-0.0054314	0.00286276	
179.071	0.04505946	174.9613	0	2						-0.002685263	-0.005267758	0.002762375	
179.092	0.06598782	174.9822	0	2						-0.002722748	-0.005118058	0.00261126	
179.113	0.08791804	175.0041	0	2						-0.002799217	-0.005004856	0.002490188	
179.137	0.1114538	175.0277	0	2						-0.002854965	-0.004836863	0.002386569	
179.159	0.1335393	175.0497	0	2						-0.002948407	-0.004723487	0.002270216	
179.183	0.1567827	175.073	0	2						-0.003085949	-0.004641748	0.002199397	
179.204	0.178176	175.0944	0	2						-0.003250907	-0.004445933	0.002112483	
179.227	0.2008166	175.117	0	2						-0.003401066	-0.004378265	0.0020482	
179.250	0.2238404	175.14	0	2						-0.003560822	-0.004258228	0.001978494	
179.267	0.2416288	175.1578	0	2						-0.003681958	-0.004141237	0.0018588	
179.285	0.2588953	175.1751	0	2						-0.003777917	-0.004140965	0.001788907	
179.301	0.2752931	175.1915	0	2						-0.00391249	-0.004114165	0.001681219	
179.321	0.2948782	175.2111	0	2						-0.004004932	-0.004160329	0.00160978	
179.337	0.3115206	175.2277	0	2						-0.004114541	-0.004146634	0.001500671	
179.354	0.3290044	175.2452	0	2						-0.004231207	-0.004161594	0.001412746	
179.382	0.3562316	175.2724	0	2						-0.004390801	-0.004192232	0.001302104	
179.398	0.372085	175.2883	0	2						-0.004597452	-0.004200819	0.001177755	
179.416	0.390229	175.3064	0	2						-0.00475704	-0.004222047	0.001119491	
179.434	0.4077602	175.324	0	2						-0.004867043	-0.004211843	0.00109477	
179.457	0.4309732	175.3472	0	2						-0.00497628	-0.004254984	0.001094486	
179.477	0.4509068	175.3671	0	2						-0.005063415	-0.00426621	0.001060389	
179.495	0.4696184	175.3858	0	2						-0.005130962	-0.004208317	0.001025125	
179.514	0.4881404	175.4043	0	2						-0.005200695	-0.004176437	0.001010392	
179.536	0.5107825	175.427	0	2						-0.005270641	-0.00410734	0.0009314974	
179.556	0.5305893	175.4468	0	2						-0.00534188	-0.004020383	0.0008367308	
179.578	0.5521676	175.4684	0	2						-0.005390543	-0.003959103	0.0007515821	
179.618	0.5918933	175.5081	0	2						-0.005409129	-0.003902459	0.0006606511	
179.636	0.6102632	175.5265	0	2						-0.005477194	-0.003868583	0.0005661392	
179.653	0.6273547	175.5436	0	2						-0.005515751	-0.003842284	0.0005000739	
179.670	0.6449037	175.5611	0	2						-0.005552662	-0.003818235	0.0004549506	
179.688	0.6624638	175.5787	0	2						-0.005598928	-0.003824528	0.0003935439	
179.712	0.6865127	175.6027	0	2						-0.005647406	-0.003818085	0.0003355246	
179.735	0.7090466	175.6252	0	2						-0.00572782	-0.003842086	0.0002283853	
179.758	0.7321932	175.6484	0	2						-0.005791263	-0.003878084	0.0001173245	
179.779	0.7536573	175.6699	0	2						-0.005867962	-0.003891943	1.355076E-05	
179.801	0.7753177	175.6915	0	2						-0.005914703	-0.003938891	-9.36831E-05	
179.825	0.7985176	175.7147	0	2						-0.005982622	-0.003971014	-0.0002227939	
179.847	0.8216907	175.7379	0	2						-0.006019142	-0.003976656	-0.0003125714	
