Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
93.190	0.01286201	89.18084	0	7						-0.0008898191	-0.01495887	0.02187588	
93.201	0.02581529	89.19379	0	7						-0.0008928664	-0.01496242	0.02188909	
93.206	0.03172817	89.19971	0	7						-0.000913348	-0.01497235	0.02190826	
93.218	0.04307908	89.21106	0	7						-0.0009128712	-0.01496714	0.02190953	
93.231	0.0561248	89.22411	0	7						-0.0009227879	-0.01496984	0.02192282	
93.244	0.06874938	89.23672	0	7						-0.000938829	-0.01497285	0.02194102	
93.253	0.07861208	89.24659	0	7						-0.0009475276	-0.01496699	0.02194875	
93.265	0.09044851	89.25843	0	7						-0.0009705387	-0.01496842	0.02196095	
93.271	0.09662451	89.2646	0	7						-0.0009658709	-0.01496222	0.0219653	
93.284	0.1083886	89.27637	0	7						-0.0009751543	-0.01495922	0.02196859	
93.295	0.1199999	89.28798	0	7						-0.001002405	-0.01496926	0.02197885	
93.309	0.1335564	89.30154	0	7						-0.001011848	-0.0149574	0.02197541	
93.321	0.1458239	89.3138	0	7						-0.00102152	-0.01494699	0.02196644	
93.333	0.1577634	89.32574	0	7						-0.00104905	-0.01494755	0.02195911	
93.338	0.1633472	89.33133	0	7						-0.001053446	-0.01493463	0.02194617	
93.348	0.1733632	89.34134	0	7						-0.001074082	-0.01493393	0.02194339	
93.360	0.1850847	89.35307	0	7						-0.001078326	-0.01491889	0.02193009	
93.371	0.1960599	89.36404	0	7						-0.001097537	-0.01489921	0.02191982	
93.382	0.2068178	89.37479	0	7						-0.001118681	-0.0148874	0.02190413	
93.397	0.2222793	89.39026	0	7						-0.001142122	-0.01487483	0.02188797	
93.405	0.2302967	89.39828	0	7						-0.001166674	-0.01486037	0.02186664	
93.416	0.2415346	89.40952	0	7						-0.00118026	-0.01486379	0.02186469	
93.425	0.2498783	89.41785	0	7						-0.00120603	-0.01485537	0.02186459	
93.435	0.2606263	89.4286	0	7						-0.001225927	-0.01483712	0.02185931	
93.446	0.2710433	89.43903	0	7						-0.001235958	-0.01482418	0.02185509	
93.458	0.283009	89.45099	0	7						-0.001257054	-0.01481328	0.02185025	
93.467	0.2919986	89.45998	0	7						-0.001264866	-0.01479345	0.02183532	
93.477	0.3021837	89.47016	0	7						-0.001280886	-0.0147807	0.02182661	
93.489	0.3139451	89.48193	0	7						-0.00129968	-0.0147649	0.02181174	
93.499	0.3244051	89.49239	0	7						-0.001322038	-0.01475355	0.02178209	
93.509	0.3337981	89.50178	0	7						-0.001340571	-0.01475416	0.02176913	
93.520	0.3446354	89.51261	0	7						-0.001364754	-0.01473002	0.02174472	
93.531	0.3555363	89.52351	0	7						-0.001380789	-0.01472737	0.02172128	
93.541	0.3659008	89.53388	0	7						-0.001401972	-0.01472883	0.02170861	
93.557	0.3816191	89.5496	0	7						-0.00143486	-0.01474232	0.02168735	
93.566	0.3901497	89.55813	0	7						-0.001458609	-0.01472812	0.02165596	
93.592	0.3979656	89.56594	0	7						-0.001482687	-0.01472401	0.02163983	
93.602	0.4272657	89.59525	0	7						-0.001496573	-0.01472383	0.02162957	
93.608	0.4329799	89.60096	0	7						-0.001561344	-0.01471606	0.02157478	
93.617	0.441755	89.60973	0	7						-0.001564905	-0.01472148	0.02157017	
93.626	0.4510421	89.61902	0	7						-0.001581606	-0.01472057	0.02155777	
93.637	0.4623424	89.63032	0	7						-0.001595587	-0.01472188	0.0215415	
93.649	0.4747477	89.64272	0	7						-0.001615163	-0.01471943	0.02151356	
93.660	0.4846543	89.65263	0	7						-0.001631367	-0.01471991	0.02149547	
93.671	0.4958811	89.66386	0	7						-0.001644972	-0.01472321	0.0214758	
93.683	0.5083568	89.67634	0	7						-0.001653896	-0.01472335	0.02144968	
93.693	0.5183072	89.68629	0	7						-0.001669806	-0.01472476	0.0214337	
93.708	0.5329431	89.70092	0	7						-0.001675162	-0.0147206	0.02141733	
93.718	0.5433656	89.71134	0	7						-0.001689452	-0.01471831	0.02139818	
93.726	0.5511788	89.71915	0	7						-0.001700486	-0.01472135	0.02139446	
93.738	0.5628358	89.73081	0	7						-0.001701071	-0.01472195	0.02139286	
93.749	0.5741492	89.74213	0	7						-0.00170551	-0.01471832	0.02139325	
93.760	0.584627	89.75261	0	7						-0.001716211	-0.01471321	0.02139953	
93.771	0.5957113	89.76369	0	7						-0.001725074	-0.01470049	0.02141106	
93.784	0.608802	89.77678	0	7						-0.001728416	-0.01470011	0.02142167	
93.794	0.6187987	89.78677	0	7						-0.001733463	-0.0146914	0.02144311	
93.805	0.6296257	89.79761	0	7						-0.001734952	-0.01469563	0.02146311	
93.815	0.6403757	89.80836	0	7						-0.001736461	-0.01469665	0.02147401	
93.827	0.652049	89.82003	0	7						-0.001751208	-0.0147165	0.0215153	
93.838	0.6633924	89.83137	0	7						-0.001750735	-0.0147271	0.02153271	
93.849	0.6744644	89.84245	0	7						-0.001747292	-0.01473429	0.02154333	
93.863	0.6879996	89.85598	0	7						-0.001742943	-0.01474838	0.02156771	
93.871	0.6962315	89.86421	0	7						-0.001742922	-0.01476329	0.02159284	
93.883	0.7082639	89.87624	0	7						-0.001745265	-0.01478711	0.02162128	
93.893	0.7183032	89.88628	0	7						-0.001735862	-0.01480277	0.02163781	
93.905	0.729647	89.89763	0	7						-0.001722421	-0.01481764	0.02165366	
93.916	0.740779	89.90876	0	7						-0.0017181	-0.01483259	0.02166972	
93.926	0.7513931	89.91937	0	7						-0.001712389	-0.01484617	0.02169773	
93.939	0.7641224	89.9321	0	7						-0.001707484	-0.01485356	0.02171457	
93.949	0.7743715	89.94235	0	7						-0.001704115	-0.01486976	0.02174696	
93.960	0.7850868	89.95306	0	7						-0.001705639	-0.01488311	0.02176822	
93.972	0.7974234	89.9654	0	7						-0.00172295	-0.01489548	0.02179524	
93.982	0.8071048	89.97508	0	7						-0.001725488	-0.01489918	0.02180728	
93.993	0.8183604	89.98634	0	7						-0.001733255	-0.01490806	0.02182316	
94.006	0.830618	89.9986	0	7						-0.001742714	-0.01492373	0.02184393	
94.021	0.8465753	90.01456	0	7						-0.001751165	-0.01493943	0.02186049	
94.031	0.8560888	90.02407	0	7						-0.00175745	-0.01495887	0.02187985	
94.067	0.8560888	90.05819	1	12	60	-30	0.375	-0.25	0.2165063	-0.001760532	-0.01496452	0.02189078	
94.067	0.8902122	90.05819	0	12						-0.001760532	-0.01496452	0.02189078	
94.077	0.9015868	90.06956	0	12						-0.001766339	-0.01497686	0.02190771	
94.088	0.9129342	90.08091	0	12						-0.001772918	-0.01498625	0.02191407	
94.098	0.9226025	90.09058	0	12						-0.00176695	-0.01498535	0.02191262	
94.104	0.9290966	90.09708	0	12						-0.001761734	-0.01497379	0.0219107	
94.116	0.9414644	90.10944	0	12						-0.001761279	-0.01497074	0.02191241	
94.125	0.9500925	90.11807	0	12						-0.001756844	-0.01496116	0.02191579	
94.137	0.9619815	90.12996	0	12						-0.001744137	-0.01494415	0.02191313	
94.150	0.9745966	90.14258	0	12						-0.001741403	-0.01493423	0.0219127	
94.160	0.9849179	90.15289	0	12						-0.001738138	-0.01492311	0.02190974	
94.176	1.001491	90.16947	0	12						-0.001738633	-0.01491431	0.02190633	
94.189	1.014727	90.18271	0	12						-0.001713087	-0.01490469	0.02189475	
94.201	1.026185	90.19416	0	12						-0.001695886	-0.01488555	0.02188065	
94.214	1.038262	90.20624	0	12						-0.001682118	-0.01486953	0.02186851	
94.223	1.04806	90.21604	0	12						-0.001662176	-0.01485112	0.02186176	
94.233	1.058475	90.22646	0	12						-0.001643202	-0.01483729	0.02185564	
94.245	1.069794	90.23777	0	12						-0.001631543	-0.01481189	0.0218443	
94.254	1.078894	90.24687	0	12						-0.001618061	-0.01479398	0.02182961	
94.265	1.090132	90.25811	0	12						-0.001607492	-0.01477722	0.02181735	
94.277	1.101366	90.26934	0	12						-0.001593947	-0.01476625	0.02180061	
94.287	1.112105	90.28008	0	12						-0.001587585	-0.01475362	0.02178528	
94.297	1.122255	90.29024	0	12						-0.001584705	-0.01475224	0.02177883	
94.309	1.133626	90.30161	0	12						-0.001568075	-0.01474198	0.02177335	
94.319	1.144447	90.31242	0	12						-0.001578015	-0.01473432	0.02177662	
94.334	1.159266	90.32725	0	12						-0.001566898	-0.01472283	0.0217803	
94.345	1.170889	90.33887	0	12						-0.001551648	-0.0146976	0.02178784	
94.356	1.180384	90.34837	0	12						-0.001546081	-0.01468544	0.02179144	
94.365	1.189793	90.35777	0	12						-0.001543001	-0.01467465	0.02178932	
94.373	1.197603	90.36559	0	12						-0.001541428	-0.01465209	0.02177836	
94.383	1.207592	90.37557	0	12						-0.001541219	-0.01465766	0.02177939	
94.393	1.218449	90.38643	0	12						-0.001538318	-0.0146457	0.02177405	
94.405	1.229753	90.39774	0	12						-0.001546889	-0.01462679	0.021769	
94.416	1.240983	90.40896	0	12						-0.0015494	-0.01462688	0.02176674	
94.427	1.251472	90.41945	0	12						-0.001555401	-0.014631	0.02176106	
94.438	1.263512	90.43149	0	12						-0.00155674	-0.01462755	0.0217507	
94.450	1.274615	90.4426	0	12						-0.001563359	-0.01463052	0.02174026	
94.459	1.284598	90.45258	0	12						-0.00156482	-0.01462821	0.02173084	
94.471	1.296562	90.46454	0	12						-0.001573112	-0.01462731	0.02172508	
94.487	1.311875	90.47985	0	12						-0.001579293	-0.01462992	0.02171733	
94.493	1.317835	90.48582	0	12						-0.001577865	-0.01464745	0.02171033	
94.524	1.348655	90.51663	0	12						-0.001577468	-0.01465359	0.02170558	
94.533	1.356881	90.52486	0	12						-0.001570898	-0.01468844	0.02167629	
94.538	1.362321	90.5303	0	12						-0.001573481	-0.01469767	0.02167009	
94.546	1.371418	90.5394	0	12						-0.001575496	-0.01470156	0.02166149	
94.558	1.383138	90.55112	0	12						-0.001580726	-0.0147161	0.0216564	
94.569	1.393842	90.56182	0	12						-0.001578417	-0.01472711	0.02164239	
94.580	1.404573	90.57256	0	12						-0.001575409	-0.01474223	0.02163032	
94.590	1.415223	90.5832	0	12						-0.001570657	-0.01476256	0.02162373	
94.601	1.425893	90.59387	0	12						-0.001557508	-0.014769	0.02161469	
94.610	1.435329	90.60331	0	12						-0.001543589	-0.01478718	0.02160402	
94.621	1.446275	90.61425	0	12						-0.00152994	-0.01478441	0.02159521	
94.632	1.456908	90.62489	0	12						-0.001514726	-0.01480257	0.0215989	
94.646	1.471202	90.63918	0	12						-0.001503247	-0.0147968	0.02159691	
94.656	1.480735	90.64871	0	12						-0.001489848	-0.01479036	0.02160553	
94.668	1.492859	90.66084	0	12						-0.001481812	-0.01478437	0.0216111	
94.673	1.498548	90.66653	0	12						-0.001466919	-0.01479397	0.0216293	
94.685	1.510164	90.67815	0	12						-0.001464151	-0.01478341	0.02162935	
94.697	1.521409	90.68938	0	12						-0.001456638	-0.01478394	0.02164564	
94.707	1.531592	90.69957	0	12						-0.001444299	-0.0147826	0.02166314	
94.718	1.542653	90.71063	0	12						-0.001433169	-0.01477392	0.021685	
94.727	1.552575	90.72055	0	12						-0.001415635	-0.01478174	0.02171197	
94.741	1.564755	90.73273	0	12						-0.001408885	-0.01478142	0.02173452	
94.750	1.574941	90.74292	0	12						-0.001396023	-0.01477468	0.02175567	
94.761	1.586017	90.754	0	12						-0.001379993	-0.01477663	0.02177905	
94.773	1.597594	90.76557	0	12						-0.001369447	-0.01477068	0.02179956	
94.783	1.607984	90.77596	0	12						-0.001351818	-0.0147676	0.02181992	
94.798	1.623316	90.79129	0	12						-0.001338386	-0.01477368	0.02184341	
94.808	1.63349	90.80147	0	12						-0.00132957	-0.01478222	0.0218723	
94.818	1.643044	90.81102	0	12						-0.001328927	-0.01478946	0.02189402	
94.827	1.651927	90.81991	0	12						-0.001325771	-0.01479002	0.02191116	
94.838	1.662823	90.8308	0	12						-0.001317963	-0.01478603	0.02192395	
94.850	1.674632	90.84261	0	12						-0.001313213	-0.01477901	0.02193725	
94.859	1.684724	90.8527	0	12						-0.001303207	-0.01478154	0.02195206	
94.872	1.6969	90.86488	0	12						-0.001301895	-0.01478865	0.02196652	
94.883	1.707515	90.8755	0	12						-0.001293425	-0.01478693	0.0219806	
94.893	1.7179	90.88588	0	12						-0.001285795	-0.01478384	0.02199003	
94.906	1.730896	90.89887	0	12						-0.001277119	-0.01478478	0.02200232	
94.916	1.740586	90.90856	0	12						-0.001267347	-0.0147791	0.02200495	
94.927	1.751373	90.91935	0	12						-0.001260796	-0.01478189	0.02201437	
94.940	1.764342	90.93232	0	12						-0.001253221	-0.01477671	0.02201977	
94.954	1.779068	90.94704	0	12						-0.001246922	-0.01477207	0.02203404	
94.963	1.787819	90.9558	0	12						-0.001235966	-0.01477556	0.02203485	
94.991	1.797117	90.9651	0	12						-0.001230303	-0.01477463	0.02203475	
95.000	1.824725	90.99271	0	12						-0.001234147	-0.01477621	0.0220368	
95.005	1.830451	90.99843	0	12						-0.001236849	-0.01478737	0.02203054	
95.016	1.84083	91.00881	0	12						-0.001230524	-0.01479207	0.02202491	
95.025	1.850385	91.01836	0	12						-0.001232128	-0.01479578	0.02201555	
95.036	1.861086	91.02906	0	12						-0.001236916	-0.01480116	0.02200439	
95.047	1.871991	91.03997	0	12						-0.001242823	-0.0148028	0.02198976	
95.057	1.881849	91.04983	0	12						-0.001240424	-0.01480825	0.02197028	
95.069	1.893839	91.06181	0	12						-0.001239461	-0.01481454	0.02195256	
95.078	1.903131	91.07111	0	12						-0.001236275	-0.01482109	0.02193297	
95.090	1.914623	91.0826	0	12						-0.001231323	-0.01480435	0.02191392	
95.104	1.929053	91.09703	0	12						-0.001212865	-0.01481428	0.02189485	
95.114	1.938826	91.1068	0	12						-0.001221616	-0.01480148	0.021869	
95.120	1.944648	91.11263	0	12						-0.001207035	-0.01479818	0.02184835	
95.132	1.957201	91.12518	0	12						-0.001207113	-0.01478888	0.0218322	
95.143	1.967648	91.13563	0	12						-0.001195014	-0.01477199	0.02180809	
95.153	1.978005	91.14598	0	12						-0.001180168	-0.01475599	0.02178796	
95.165	1.989511	91.15749	0	12						-0.001167003	-0.01472804	0.021751	
95.175	1.999847	91.16782	0	12						-0.00115604	-0.01470935	0.02172546	
95.186	2.011007	91.17899	0	12						-0.001133266	-0.01470055	0.02169862	
95.197	2.022505	91.19048	0	12						-0.001124511	-0.0146908	0.02167355	
95.207	2.03254	91.20052	0	12						-0.001104705	-0.01468897	0.02163809	
95.218	2.043024	91.21101	0	12						-0.001092803	-0.014684	0.02161868	
95.229	2.054693	91.22267	0	12						-0.001071482	-0.01467701	0.02158936	
95.240	2.065118	91.23309	0	12						-0.001050006	-0.01467312	0.02156187	
95.257	2.081978	91.24995	0	12						-0.001031491	-0.01467392	0.0215386	
95.267	2.092503	91.26048	0	12						-0.00101183	-0.01466232	0.02150695	
95.272	2.097341	91.26532	0	12						-0.0009964369	-0.01465784	0.02148588	
95.283	2.108127	91.27611	0	12						-0.0009889342	-0.0146596	0.02148597	
