Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
426.937	0.03617973	422.9668	0	11						-0.2333764	0.02105671	-0.2209339	
426.949	0.04934673	422.9799	0	11						-0.2333273	0.02102292	-0.2209027	
426.958	0.05896805	422.9896	0	11						-0.2333171	0.02100008	-0.2208728	
426.971	0.07177555	423.0024	0	11						-0.2333211	0.02097043	-0.2207999	
426.984	0.08465929	423.0153	0	11						-0.2333333	0.02093973	-0.2207407	
426.994	0.09437425	423.025	0	11						-0.2333351	0.02091442	-0.2206878	
427.002	0.1030087	423.0336	0	11						-0.2333223	0.02090093	-0.2206663	
427.008	0.1091756	423.0398	0	11						-0.2333212	0.02089162	-0.2206448	
427.019	0.1200426	423.0507	0	11						-0.2333257	0.0208849	-0.2206312	
427.031	0.1321528	423.0628	0	11						-0.2333221	0.02087161	-0.2205724	
427.042	0.1433018	423.0739	0	11						-0.2333108	0.02085583	-0.2205709	
427.052	0.1531227	423.0837	0	11						-0.2332925	0.02085891	-0.2205571	
427.064	0.1652787	423.0959	0	11						-0.2332826	0.02085745	-0.2205506	
427.076	0.1770784	423.1077	0	11						-0.2332865	0.02084406	-0.2205289	
427.088	0.1878063	423.1184	0	11						-0.2332817	0.02083367	-0.220512	
427.097	0.1976777	423.1283	0	11						-0.2332766	0.02082651	-0.2204935	
427.109	0.2093142	423.1399	0	11						-0.2332739	0.02080368	-0.2204788	
427.124	0.2245043	423.1551	0	11						-0.2332718	0.02078084	-0.2204705	
427.132	0.2334209	423.164	0	11						-0.2332529	0.02076286	-0.2204842	
427.143	0.2437541	423.1744	0	11						-0.2332272	0.02075486	-0.2205187	
427.154	0.254672	423.1853	0	11						-0.2332073	0.02074365	-0.220547	
427.164	0.2653296	423.196	0	11						-0.2331833	0.02074598	-0.2205916	
427.176	0.276848	423.2075	0	11						-0.2331589	0.02074027	-0.2206296	
427.186	0.2865156	423.2171	0	11						-0.2331129	0.02073282	-0.2206837	
427.194	0.2953511	423.226	0	11						-0.233069	0.02072933	-0.2207438	
427.206	0.3064693	423.2371	0	11						-0.2330493	0.02072209	-0.2207786	
427.217	0.3172051	423.2478	0	11						-0.232997	0.02071813	-0.2208313	
427.228	0.3283466	423.259	0	11						-0.2329486	0.02073486	-0.2208916	
