Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
207.928	20.68617	203.9221	0	17						0.004326273	-0.01644496	0.09126187	
207.939	20.6979	203.9339	0	17						0.004369359	-0.01645262	0.09129374	
207.948	20.70626	203.9422	0	17						0.004397201	-0.01645731	0.0913177	
207.958	20.71756	203.9535	0	17						0.004424158	-0.0164668	0.09134435	
207.970	20.72897	203.9649	0	17						0.004437249	-0.01647113	0.09136841	
207.980	20.73935	203.9753	0	17						0.00445985	-0.01647839	0.09139933	
207.992	20.75092	203.9869	0	17						0.004476633	-0.01648472	0.09142505	
208.002	20.76133	203.9973	0	17						0.004490248	-0.0164912	0.09145769	
208.014	20.77309	204.009	0	17						0.004505385	-0.01650335	0.09149228	
208.025	20.78461	204.0206	0	17						0.004511226	-0.01650168	0.09151745	
208.038	20.79776	204.0337	0	17						0.004527353	-0.01650971	0.09155129	
208.048	20.80742	204.0434	0	17						0.004527155	-0.01650866	0.09158877	
208.061	20.81962	204.0556	0	17						0.004536315	-0.01650803	0.09161087	
208.071	20.83045	204.0664	0	17						0.004535741	-0.01651474	0.09164257	
208.081	20.83984	204.0758	0	17						0.004529003	-0.0165213	0.09166926	
208.092	20.85105	204.087	0	17						0.004528263	-0.01653281	0.0916917	
208.104	20.86279	204.0988	0	17						0.004522264	-0.01654928	0.09172451	
208.116	20.87476	204.1107	0	17						0.004512872	-0.0165609	0.09175386	
208.128	20.8868	204.1228	0	17						0.004505102	-0.01657683	0.09178918	
208.137	20.89632	204.1323	0	17						0.004493043	-0.01658192	0.09181281	
208.147	20.90615	204.1421	0	17						0.004482944	-0.01660676	0.09184758	
208.161	20.91989	204.1559	0	17						0.004473482	-0.01661995	0.09186723	
208.170	20.92901	204.165	0	17						0.004452975	-0.01663512	0.09190419	
208.180	20.93948	204.1754	0	17						0.004440777	-0.01664605	0.09193508	
208.193	20.95225	204.1882	0	17						0.004425964	-0.01664599	0.0919573	
208.204	20.96299	204.199	0	17						0.004406288	-0.01665082	0.09199395	
208.214	20.97322	204.2092	0	17						0.004379775	-0.01665512	0.09202636	
208.227	20.98555	204.2215	0	17						0.004356448	-0.01665928	0.09204946	
208.236	20.99553	204.2315	0	17						0.004322652	-0.01666703	0.09207372	
208.247	21.00657	204.2425	0	17						0.004306477	-0.01668136	0.09208546	
208.259	21.01848	204.2544	0	17						0.004266854	-0.01668989	0.09209746	
208.271	21.03036	204.2663	0	17						0.004239205	-0.01670769	0.09211058	
208.282	21.04111	204.2771	0	17						0.004204552	-0.01670589	0.092112	
208.293	21.05261	204.2886	0	17						0.004177958	-0.01670178	0.0921078	
208.305	21.06401	204.3	0	17						0.004148874	-0.01670132	0.09210257	
208.314	21.07329	204.3092	0	17						0.004103895	-0.01668619	0.0920881	
208.326	21.08508	204.321	0	17						0.004073322	-0.01668654	0.09208432	
208.338	21.09645	204.3324	0	17						0.004046169	-0.01666485	0.09206057	
208.349	21.10779	204.3438	0	17						0.004004885	-0.01665208	0.0920473	
208.360	21.11895	204.3549	0	17						0.003969815	-0.01663843	0.09202821	
208.372	21.13077	204.3667	0	17						0.003936112	-0.01662257	0.09199934	
208.380	21.1397	204.3757	0	17						0.003895109	-0.01660316	0.09196526	
208.409	21.16786	204.4038	0	17						0.003872503	-0.01659628	0.09193704	
208.418	21.17711	204.4131	0	17						0.003802187	-0.01653973	0.09183118	
208.425	21.18471	204.4207	0	17						0.003775046	-0.01651333	0.09179688	
208.437	21.19608	204.432	0	17						0.003760789	-0.01648869	0.09177301	
208.448	21.20786	204.4438	0	17						0.003748395	-0.01645639	0.09173553	
208.459	21.21886	204.4548	0	17						0.003717649	-0.01643243	0.09170526	
208.470	21.22907	204.465	0	17						0.003717344	-0.01640107	0.09166472	
208.482	21.24122	204.4772	0	17						0.003686219	-0.01635028	0.09162782	
208.493	21.25221	204.4882	0	17						0.003682494	-0.01632174	0.09159412	
208.507	21.26677	204.5027	0	17						0.003664602	-0.01628753	0.09156425	
208.517	21.27619	204.5121	0	17						0.003679123	-0.01624234	0.09153256	
208.528	21.28575	204.5217	0	17						0.003631867	-0.01617376	0.09151351	
208.537	21.29626	204.5322	0	17						0.003655855	-0.01615447	0.09150919	
208.549	21.30736	204.5433	0	17						0.003671385	-0.01610474	0.09149666	
208.560	21.31911	204.5551	0	17						0.003673658	-0.01605672	0.09148906	
208.570	21.32917	204.5651	0	17						0.003699278	-0.01600525	0.09147249	
208.581	21.34047	204.5764	0	17						0.003693562	-0.01594114	0.09147748	
208.594	21.35274	204.5887	0	17						0.003705382	-0.01587474	0.09147556	
208.605	21.36367	204.5996	0	17						0.003717075	-0.01579481	0.09147895	
208.614	21.3737	204.6097	0	17						0.003717761	-0.01573856	0.09149431	
208.627	21.38684	204.6228	0	17						0.003760262	-0.01567945	0.0914789	
208.637	21.39644	204.6324	0	17						0.003786069	-0.01560434	0.09146457	
208.648	21.40738	204.6433	0	17						0.003765017	-0.01555172	0.09145071	
208.664	21.42294	204.6589	0	17						0.003795839	-0.01550828	0.09142833	
208.675	21.43299	204.6689	0	17						0.003822584	-0.01544583	0.09139205	
208.684	21.44404	204.68	0	17						0.003840376	-0.01539785	0.09136055	
208.693	21.45269	204.6886	0	17						0.003862646	-0.01531853	0.0913263	
208.704	21.46309	204.6991	0	17						0.003876635	-0.01526745	0.09130711	
208.714	21.4728	204.7088	0	17						0.003877581	-0.01520612	0.09128144	
208.726	21.48504	204.721	0	17						0.00391318	-0.01517162	0.09124816	
208.736	21.49541	204.7314	0	17						0.003923677	-0.01510444	0.0912113	
208.747	21.50622	204.7422	0	17						0.003961157	-0.01507369	0.09117966	
208.760	21.5191	204.7551	0	17						0.003987529	-0.01501565	0.09113993	
208.772	21.53091	204.7669	0	17						0.004000481	-0.01491592	0.09110066	
208.781	21.53994	204.7759	0	17						0.004015129	-0.01479055	0.09107958	
208.794	21.55338	204.7893	0	17						0.004079096	-0.01473951	0.09105562	
208.805	21.56378	204.7997	0	17						0.00409453	-0.01467292	0.09102133	
208.816	21.57542	204.8114	0	17						0.0041379	-0.01463852	0.09098169	
208.827	21.58697	204.8229	0	17						0.004157721	-0.01458734	0.0909339	
208.838	21.59784	204.8338	0	17						0.004196321	-0.01452255	0.09086746	
208.848	21.60706	204.843	0	17						0.004234366	-0.014479	0.09080652	
208.859	21.61892	204.8549	0	17						0.004243921	-0.01444397	0.0907665	
208.870	21.62967	204.8656	0	17						0.004271742	-0.01435255	0.09066696	
208.880	21.6399	204.8759	0	17						0.004292364	-0.01430382	0.09061505	
208.893	21.65257	204.8885	0	17						0.004321121	-0.01427669	0.09057528	
208.905	21.66371	204.8997	0	17						0.004345387	-0.01422989	0.09049597	
208.915	21.67399	204.9099	0	17						0.004363302	-0.01420874	0.09045201	
208.927	21.68587	204.9218	0	17						0.004387364	-0.01416047	0.09037201	
208.938	21.69674	204.9327	0	17						0.004393837	-0.01413833	0.09032702	
208.949	21.70824	204.9442	0	17						0.004426817	-0.01410655	0.09023286	
208.961	21.71974	204.9557	0	17						0.004438169	-0.01408644	0.09018284	
208.976	21.7353	204.9713	0	17						0.004455489	-0.01406702	0.09011865	
208.988	21.7469	204.9829	0	17						0.004497241	-0.01401789	0.08998081	
208.994	21.7529	204.9889	0	17						0.004507866	-0.01398655	0.089914	
209.003	21.76241	204.9984	0	17						0.004521082	-0.013973	0.08987601	
209.014	21.77306	205.009	0	17						0.00453008	-0.0139552	0.08982839	
209.027	21.7855	205.0215	0	17						0.004542988	-0.01392985	0.08976769	
209.037	21.79628	205.0322	0	17						0.00459114	-0.01391684	0.08967691	
209.047	21.80665	205.0426	0	17						0.004604614	-0.01389365	0.08963581	
209.060	21.81882	205.0548	0	17						0.00461619	-0.01388225	0.0895963	
209.071	21.83036	205.0663	0	17						0.004643057	-0.01385017	0.08953308	
209.082	21.84068	205.0766	0	17						0.004673804	-0.01381192	0.08947694	
209.095	21.85389	205.0898	0	17						0.004689999	-0.01379462	0.08944917	
209.105	21.86408	205.1	0	17						0.004711024	-0.01377783	0.08940518	
209.131	21.88978	205.1257	0	17						0.004735142	-0.01376849	0.08937471	
209.146	21.90563	205.1416	0	17						0.004785371	-0.01375512	0.08928087	
209.161	21.91993	205.1559	0	17						0.00482583	-0.01375306	0.08922033	
209.173	21.9308	205.1668	0	17						0.004856341	-0.01374455	0.08918222	
209.183	21.94211	205.1781	0	17						0.004878525	-0.01374671	0.0891555	
209.193	21.95233	205.1883	0	17						0.004902656	-0.01375128	0.08912175	
209.205	21.96388	205.1998	0	17						0.004930928	-0.01376237	0.08908168	
209.216	21.97538	205.2113	0	17						0.004944352	-0.01377656	0.08906636	
209.226	21.98533	205.2213	0	17						0.004969801	-0.01380149	0.08903095	
209.238	21.99753	205.2335	0	17						0.004995875	-0.01381215	0.08900169	
209.248	22.00763	205.2436	0	17						0.005020656	-0.01383181	0.08899256	
209.260	22.01901	205.255	0	17						0.00504255	-0.01385673	0.08897647	
209.272	22.01901	205.2668	1	17	120	30	-0.375	0.25	-0.2165064	0.005049965	-0.01386839	0.08896765	
209.272	22.03086	205.2668	0	17						0.005049965	-0.01386839	0.08896765	
209.283	22.04237	205.2783	0	17						0.005063631	-0.01388161	0.08895744	
209.298	22.05706	205.293	0	17						0.005080197	-0.01389881	0.08895337	
209.312	22.07058	205.3065	0	17						0.005091973	-0.01390427	0.08895025	
209.323	22.08221	205.3182	0	17						0.005111874	-0.01391265	0.08893852	
209.331	22.09053	205.3265	0	17						0.005139519	-0.01392607	0.08894018	
209.338	22.0974	205.3334	0	17						0.005137547	-0.01392592	0.08894698	
209.347	22.10679	205.3427	0	17						0.00513408	-0.01392555	0.08895703	
209.360	22.1187	205.3547	0	17						0.005150434	-0.01393291	0.08896381	
209.370	22.12938	205.3653	0	17						0.005154431	-0.01393676	0.08898362	
209.380	22.13953	205.3755	0	17						0.005166113	-0.0139488	0.08900154	
209.393	22.15223	205.3882	0	17						0.005178865	-0.01396045	0.08902147	
209.404	22.16348	205.3994	0	17						0.005208224	-0.01397884	0.08904943	
209.416	22.17456	205.4105	0	17						0.005219076	-0.01399115	0.08907647	
209.426	22.18533	205.4213	0	17						0.005234629	-0.01401223	0.08910971	
209.438	22.19685	205.4328	0	17						0.00526204	-0.01402645	0.08914016	
209.450	22.20888	205.4448	0	17						0.005286059	-0.01404436	0.08917513	
209.460	22.21942	205.4554	0	17						0.005306281	-0.01407756	0.08922256	
209.470	22.22932	205.4653	0	17						0.005308672	-0.01409025	0.08925093	
209.482	22.24138	205.4773	0	17						0.005333412	-0.01410899	0.08929086	
209.492	22.25173	205.4877	0	17						0.00534413	-0.01413044	0.08932863	
209.504	22.26327	205.4992	0	17						0.005366682	-0.01415824	0.08936483	
209.514	22.27341	205.5094	0	17						0.005381852	-0.01418848	0.0894115	
209.528	22.28597	205.5219	0	17						0.00538848	-0.01420232	0.08945008	
209.537	22.29596	205.5319	0	17						0.005412847	-0.01421655	0.08948795	
209.547	22.30655	205.5425	0	17						0.00543189	-0.01423461	0.08953074	
209.560	22.31892	205.5549	0	17						0.005445619	-0.01424462	0.08956594	
209.570	22.32933	205.5653	0	17						0.005453073	-0.01426306	0.08960886	
209.582	22.34076	205.5767	0	17						0.00548847	-0.01429997	0.08963138	
209.595	22.3536	205.5896	0	17						0.005489917	-0.01431607	0.0896694	
209.611	22.37016	205.6061	0	17						0.005503628	-0.01432988	0.08976165	
209.625	22.38396	205.6199	0	17						0.00551492	-0.01435478	0.08982643	
209.637	22.39642	205.6324	0	17						0.005525489	-0.01437154	0.08987955	
209.648	22.40692	205.6429	0	17						0.005536929	-0.01438919	0.08994344	
209.660	22.41938	205.6553	0	17						0.005551261	-0.01441536	0.08998808	
209.670	22.42944	205.6654	0	17						0.005559601	-0.01444521	0.09003397	
209.681	22.43999	205.6759	0	17						0.005565691	-0.0144705	0.09006816	
209.693	22.45203	205.688	0	17						0.005561542	-0.01449327	0.09009983	
209.704	22.46376	205.6997	0	17						0.005567711	-0.01451207	0.09012686	
209.714	22.47359	205.7095	0	17						0.005567719	-0.01453016	0.09015778	
209.726	22.48511	205.7211	0	17						0.005564321	-0.01455351	0.09019253	
209.738	22.49709	205.733	0	17						0.005546536	-0.01456078	0.09022674	
209.748	22.50683	205.7428	0	17						0.005537365	-0.01457561	0.09025712	
209.762	22.52144	205.7574	0	17						0.005521703	-0.01458481	0.09028276	
209.773	22.53204	205.768	0	17						0.005496323	-0.01460054	0.0903207	
209.781	22.5403	205.7763	0	17						0.005482844	-0.01461904	0.09034231	
209.792	22.55153	205.7875	0	17						0.005470312	-0.0146225	0.09035368	
209.804	22.56302	205.799	0	17						0.0054438	-0.01462827	0.09037965	
209.815	22.57372	205.8097	0	17						0.005427931	-0.01462975	0.09039911	
209.840	22.59972	205.8357	0	17						0.005423422	-0.01463928	0.09041446	
209.852	22.61147	205.8474	0	17						0.005378615	-0.01465749	0.09046298	
209.858	22.61757	205.8535	0	17						0.005364947	-0.01465788	0.0904802	
209.870	22.62981	205.8658	0	17						0.005356894	-0.01466136	0.09049161	
209.881	22.63987	205.8758	0	17						0.005335346	-0.01466241	0.09051143	
209.892	22.65175	205.8877	0	17						0.005317025	-0.0146631	0.09052388	
209.903	22.66274	205.8987	0	17						0.005303092	-0.0146675	0.09053148	
209.919	22.66274	205.9121	1	0	90	0	0.5	0	-2.185569E-08	0.005283218	-0.01467003	0.09054489	
209.919	22.67615	205.9121	0	0						0.005283218	-0.01467003	0.09054489	
209.931	22.68964	205.9256	0	0						0.00527237	-0.01466982	0.09056603	
209.939	22.69828	205.9342	0	0						0.005246432	-0.01466638	0.0905932	
209.950	22.70913	205.9451	0	0						0.005231395	-0.01466882	0.09061097	
209.958	22.71757	205.9535	0	0						0.005220912	-0.01467815	0.09062633	
209.970	22.72956	205.9655	0	0						0.005200616	-0.01467835	0.09063366	
209.981	22.73986	205.9758	0	0						0.005173277	-0.01468656	0.09063919	
209.994	22.75235	205.9883	0	0						0.005166225	-0.01469937	0.09063954	
210.004	22.76323	205.9992	0	0						0.005145878	-0.01471892	0.09063254	
210.013	22.7728	206.0088	0	0						0.005130882	-0.01474292	0.0906348	
210.027	22.7851	206.0211	0	0						0.005111876	-0.01474939	0.09062925	
210.036	22.79592	206.0319	0	0						0.005094137	-0.01476792	0.09061786	
210.047	22.80614	206.0421	0	0						0.005077552	-0.01478155	0.09061751	
210.061	22.82033	206.0563	0	0						0.005064469	-0.01479955	0.09060482	
210.079	22.8384	206.0744	0	0						0.005060259	-0.01483108	0.09057332	
210.092	22.85084	206.0868	0	0						0.005045105	-0.01485398	0.09052832	
210.102	22.86149	206.0974	0	0						0.005028126	-0.01487256	0.09051505	
210.113	22.87202	206.108	0	0						0.005027138	-0.01488944	0.09048097	
210.125	22.88439	206.1203	0	0						0.005026918	-0.01489817	0.09045416	
210.135	22.89469	206.1306	0	0						0.005018573	-0.01490172	0.09042244	
210.145	22.90475	206.1407	0	0						0.005018786	-0.01491971	0.09040915	
210.158	22.91688	206.1528	0	0						0.005024984	-0.01491709	0.09035833	
210.170	22.9283	206.1643	0	0						0.00502098	-0.01493502	0.0903545	
210.179	22.93834	206.1743	0	0						0.00501823	-0.01494842	0.0903319	
210.190	22.94962	206.1856	0	0						0.005025086	-0.01494762	0.09030796	
210.203	22.96279	206.1987	0	0						0.005021121	-0.01495273	0.09028727	
210.213	22.97225	206.2082	0	0						0.005028588	-0.01495611	0.09027678	
210.230	22.98873	206.2247	0	0						0.005037036	-0.01496681	0.09026133	
210.240	22.99931	206.2353	0	0						0.005052257	-0.01495505	0.09023979	
210.250	23.00957	206.2455	0	0						0.005060975	-0.01495249	0.09021925	
210.257	23.01591	206.2519	0	0						0.005061191	-0.01494204	0.09020924	
210.270	23.0297	206.2657	0	0						0.00506809	-0.01493879	0.09019836	
210.279	23.03855	206.2745	0	0						0.005067173	-0.01494004	0.09017236	
210.292	23.05077	206.2867	0	0						0.005087499	-0.01494659	0.09017137	
210.304	23.06285	206.2988	0	0						0.005093745	-0.0149514	0.09017025	
210.315	23.07313	206.3091	0	0						0.005099538	-0.01495265	0.09017187	
210.325	23.08422	206.3202	0	0						0.005105179	-0.01495695	0.09017581	
210.337	23.09565	206.3316	0	0						0.005118176	-0.01495852	0.09017953	
210.348	23.10617	206.3421	0	0						0.005133931	-0.01496552	0.09018796	
210.360	23.11979	206.3557	0	0						0.005137246	-0.01496483	0.09019787	
210.369	23.12894	206.3649	0	0						0.00515287	-0.01496212	0.09020927	
210.382	23.14178	206.3777	0	0						0.005164389	-0.01498329	0.09022686	
210.392	23.15192	206.3879	0	0						0.005174833	-0.01499969	0.09024239	
210.403	23.16207	206.398	0	0						0.005187047	-0.0150091	0.09025792	
210.416	23.17529	206.4113	0	0						0.005199134	-0.01502053	0.09027602	
210.425	23.1845	206.4205	0	0						0.005211379	-0.01504062	0.0903092	
210.437	23.19582	206.4318	0	0						0.005225253	-0.01504702	0.09032965	
210.448	23.20719	206.4431	0	0						0.005235158	-0.01506125	0.09036016	
210.459	23.21778	206.4538	0	0						0.005240962	-0.01508438	0.0904055	
210.470	23.22963	206.4656	0	0						0.005248469	-0.01507739	0.090426	
210.481	23.23995	206.4759	0	0						0.005252451	-0.01507983	0.09046443	
210.493	23.25272	206.4887	0	0						0.00526604	-0.01508129	0.09049618	
210.504	23.2629	206.4989	0	0						0.005268175	-0.01507977	0.09054175	
210.516	23.27471	206.5107	0	0						0.005266826	-0.01508613	0.09057407	
210.543	23.30208	206.538	0	0						0.005262882	-0.01508321	0.09061246	
210.558	23.31723	206.5532	0	0						0.00523994	-0.01509317	0.09072003	
210.573	23.33056	206.5665	0	0						0.005229573	-0.01507682	0.09075283	
210.583	23.34177	206.5777	0	0						0.005220797	-0.01507711	0.09078548	
210.593	23.35229	206.5883	0	0						0.005211007	-0.01508838	0.09082	
210.606	23.3653	206.6013	0	0						0.005194063	-0.01508148	0.09083958	
210.616	23.37555	206.6115	0	0						0.005171937	-0.01508528	0.09087445	
210.627	23.38676	206.6227	0	0						0.005139201	-0.01508468	0.09089697	
210.639	23.39816	206.6341	0	0						0.005128726	-0.01507727	0.09090679	
210.649	23.40869	206.6447	0	0						0.00510699	-0.01507928	0.09092472	
210.660	23.41919	206.6552	0	0						0.005085129	-0.01508762	0.0909403	
210.673	23.43162	206.6676	0	0						0.005056545	-0.01509937	0.09095274	
210.682	23.44148	206.6774	0	0						0.005034559	-0.01510931	0.09096	
210.693	23.45253	206.6885	0	0						0.004998139	-0.01511232	0.09097087	
210.708	23.46716	206.7031	0	0						0.00497532	-0.01511809	0.09097801	
210.719	23.4781	206.7141	0	0						0.004925768	-0.01513658	0.09098852	
210.726	23.4849	206.7209	0	0						0.004889235	-0.01514696	0.09099411	
210.738	23.4968	206.7328	0	0						0.004872434	-0.01516148	0.0910041	
210.748	23.50671	206.7427	0	0						0.004841142	-0.01517458	0.0910154	
210.760	23.51956	206.7555	0	0						0.00481039	-0.015195	0.09103382	
210.770	23.52926	206.7652	0	0						0.004769668	-0.01520383	0.09104931	
210.781	23.5405	206.7765	0	0						0.004739057	-0.01520915	0.09105372	
210.793	23.55212	206.7881	0	0						0.004706197	-0.01521252	0.09105702	
210.804	23.5636	206.7996	0	0						0.004679717	-0.01521637	0.09105805	
210.816	23.57504	206.811	0	0						0.004632506	-0.01523786	0.09105843	
210.826	23.58549	206.8215	0	0						0.004620295	-0.01524212	0.09104443	
210.838	23.59716	206.8331	0	0						0.004599421	-0.0152489	0.0910282	
210.850	23.60947	206.8454	0	0						0.004593045	-0.01525195	0.09101529	
210.866	23.62476	206.8607	0	0						0.004571172	-0.01526917	0.09099329	
210.874	23.63385	206.8698	0	0						0.004566465	-0.01525902	0.09096082	
210.886	23.64548	206.8814	0	0						0.004568063	-0.01527547	0.09095421	
210.891	23.65078	206.8867	0	0						0.004570272	-0.01528646	0.09092867	
210.903	23.66192	206.8979	0	0						0.004564956	-0.01528663	0.09091799	
210.914	23.67291	206.9089	0	0						0.004583254	-0.01529092	0.09089868	
210.927	23.6848	206.9208	0	0						0.004591725	-0.01529036	0.0908685	
210.936	23.6954	206.9314	0	0						0.004601952	-0.01529215	0.09084288	
210.947	23.70638	206.9423	0	0						0.004629564	-0.01529045	0.09081725	
210.961	23.71967	206.9556	0	0						0.004644432	-0.0152851	0.09078614	
210.969	23.72894	206.9649	0	0						0.00467521	-0.01528038	0.09074855	
210.981	23.74043	206.9764	0	0						0.004695713	-0.01526835	0.09072359	
210.994	23.75355	206.9895	0	0						0.004720658	-0.01525318	0.09068699	
211.003	23.76295	206.9989	0	0						0.004758208	-0.01523418	0.09066599	
211.017	23.77554	207.0115	0	0						0.004783962	-0.01521795	0.09064021	
211.028	23.78742	207.0234	0	0						0.004814155	-0.0151859	0.0906058	
211.038	23.79717	207.0331	0	0						0.00485582	-0.01518217	0.09060927	
211.047	23.80659	207.0425	0	0						0.004883852	-0.01516483	0.09060018	
211.060	23.81956	207.0555	0	0						0.004917845	-0.01515841	0.0905977	
211.073	23.83093	207.0669	0	0						0.004985239	-0.01512787	0.09058738	
211.083	23.84181	207.0778	0	0						0.005101413	-0.01511698	0.09058502	
211.092	23.8516	207.0876	0	0						0.005213778	-0.01509356	0.09058448	
211.105	23.86357	207.0995	0	0						0.00533754	-0.01507747	0.09059663	
211.115	23.87379	207.1097	0	0						0.005461786	-0.01508249	0.09062719	
211.127	23.88627	207.1222	0	0						0.005618639	-0.01506859	0.09063271	
211.138	23.89724	207.1332	0	0						0.005794775	-0.01507141	0.0906515	
211.148	23.90745	207.1434	0	0						0.00603544	-0.01506289	0.09063656	
211.160	23.91936	207.1553	0	0						0.006306831	-0.0150814	0.09062506	
211.175	23.93451	207.1705	0	0						0.006567898	-0.01513686	0.09065106	
211.187	23.94678	207.1827	0	0						0.006892241	-0.01513233	0.09062984	
211.193	23.95264	207.1886	0	0						0.007231321	-0.0151819	0.09064953	
211.205	23.96434	207.2003	0	0						0.007561098	-0.0152075	0.09064622	
211.215	23.97378	207.2097	0	0						0.007979069	-0.01524249	0.09063692	
211.225	23.98397	207.2199	0	0						0.008483673	-0.01528283	0.09062666	
211.237	23.99603	207.232	0	0						0.008959435	-0.01532598	0.09062733	
211.248	24.00694	207.2429	0	0						0.009524863	-0.01538032	0.0906267	
211.276	24.01903	207.255	0	0						0.01014747	-0.01546486	0.09061695	
211.286	24.04531	207.2813	0	0						0.01082247	-0.01554623	0.0906043	
211.293	24.05211	207.2881	0	0						0.01175302	-0.01566026	0.09055167	
211.303	24.06191	207.2979	0	0						0.01313404	-0.01580224	0.09051773	
211.315	24.07427	207.3102	0	0						0.01399135	-0.01592823	0.09049484	
211.330	24.08797	207.3239	0	0						0.01493804	-0.01603117	0.09044055	
211.339	24.09879	207.3347	0	0						0.01594487	-0.01613361	0.09038102	
211.349	24.10893	207.3449	0	0						0.01690137	-0.0162106	0.09030455	
211.359	24.1181	207.3541	0	0						0.01797298	-0.01634984	0.09023202	
211.371	24.13043	207.3664	0	0						0.0190088	-0.01650665	0.09015822	
211.380	24.14001	207.376	0	0						0.02005955	-0.01662097	0.09006991	
211.393	24.15166	207.3876	0	0						0.02122955	-0.01672749	0.08994094	
211.405	24.16342	207.3994	0	0						0.02241822	-0.01691558	0.08984337	
211.413	24.17264	207.4086	0	0						0.02362268	-0.01702181	0.08968128	
211.427	24.18512	207.4211	0	0						0.02483563	-0.01717432	0.08952078	
211.437	24.19589	207.4319	0	0						0.0261024	-0.01729621	0.08932163	
211.448	24.20738	207.4433	0	0						0.02732904	-0.01747513	0.08915599	
211.461	24.21975	207.4557	0	0						0.02867682	-0.01762368	0.0888757	
211.470	24.22961	207.4656	0	0						0.02986943	-0.01783855	0.08865137	
211.482	24.24079	207.4767	0	0						0.03111732	-0.01799497	0.08838037	
211.495	24.25467	207.4906	0	0						0.03243395	-0.01815956	0.0881392	
211.506	24.26519	207.5011	0	0						0.03376461	-0.01828678	0.08787994	
211.517	24.27624	207.5122	0	0						0.03501306	-0.01846411	0.08761517	
211.526	24.2854	207.5213	0	0						0.03626235	-0.01867209	0.08734168	
211.537	24.29631	207.5323	0	0						0.03746824	-0.01890373	0.0870979	
211.548	24.30678	207.5427	0	0						0.03879251	-0.01910375	0.08677522	
211.560	24.31953	207.5555	0	0						0.04002374	-0.01930121	0.08652443	
211.572	24.33007	207.566	0	0						0.04116803	-0.01941314	0.086239	
211.582	24.34117	207.5771	0	0						0.04241345	-0.01960221	0.08601675	
211.592	24.35182	207.5878	0	0						0.0436106	-0.01977667	0.08574538	
211.605	24.36346	207.5994	0	0						0.04476922	-0.01992	0.08548101	
211.615	24.37412	207.6101	0	0						0.04589819	-0.02011314	0.08522116	
211.625	24.38483	207.6208	0	0						0.04700892	-0.02023366	0.08494737	
211.639	24.39853	207.6345	0	0						0.04812061	-0.0204889	0.0847258	
211.649	24.40799	207.644	0	0						0.04932303	-0.02067547	0.08431897	
211.659	24.41821	207.6542	0	0						0.05046231	-0.02092837	0.08403922	
211.672	24.431	207.6669	0	0						0.05152304	-0.02113883	0.08375268	
