Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
748.899	254.1338	743.256	0	3						0.005472415	0.002803158	-0.01926174	
748.915	254.1502	743.2724	0	3						0.005488739	0.002804276	-0.01925496	
748.929	254.1642	743.2864	0	3						0.005492126	0.002796395	-0.01925151	
748.940	254.1753	743.2975	0	3						0.005514279	0.002786231	-0.0192393	
748.951	254.1858	743.308	0	3						0.005530212	0.002781929	-0.01921875	
748.961	254.1962	743.3184	0	3						0.005548526	0.002787469	-0.01921207	
748.974	254.2086	743.3307	0	3						0.00555651	0.002791701	-0.01920166	
748.984	254.2188	743.341	0	3						0.005563085	0.002797355	-0.01919205	
748.995	254.2309	743.3531	0	3						0.005571795	0.002799792	-0.01919017	
749.008	254.2431	743.3652	0	3						0.005581754	0.0028032	-0.0191871	
749.019	254.2545	743.3766	0	3						0.00558272	0.00280285	-0.01919404	
749.029	254.2639	743.386	0	3						0.005592283	0.002786125	-0.01919704	
749.040	254.2753	743.3975	0	3						0.005591189	0.002774805	-0.01921142	
749.051	254.2868	743.4089	0	3						0.005599416	0.00275992	-0.01922747	
749.064	254.2979	743.4201	0	3						0.00559748	0.002744069	-0.01924621	
749.074	254.3092	743.4314	0	3						0.005603584	0.002712673	-0.01927031	
749.086	254.3205	743.4426	0	3						0.005583391	0.002713233	-0.01930598	
749.096	254.3313	743.4534	0	3						0.005590603	0.002692601	-0.01931593	
749.107	254.342	743.4642	0	3						0.005570762	0.002671052	-0.0193389	
749.118	254.3533	743.4755	0	3						0.005557638	0.002657657	-0.01936727	
749.130	254.3656	743.4878	0	3						0.005546189	0.002643408	-0.01938816	
749.140	254.3755	743.4977	0	3						0.005529527	0.002638014	-0.01942422	
749.152	254.3872	743.5094	0	3						0.00552443	0.002613186	-0.01944398	
749.163	254.3989	743.5211	0	3						0.005512636	0.002610368	-0.01947037	
749.173	254.4089	743.5311	0	3						0.005497423	0.002612352	-0.01949842	
749.185	254.4203	743.5425	0	3						0.005490404	0.002597687	-0.01951658	
749.197	254.4319	743.5541	0	3						0.005473979	0.002620445	-0.0195558	
749.212	254.4469	743.5691	0	3						0.00547799	0.002609449	-0.0195729	
749.227	254.4607	743.5829	0	3						0.005473215	0.002617378	-0.01960019	
749.236	254.4718	743.594	0	3						0.005476959	0.002616377	-0.01961134	
749.248	254.4829	743.605	0	3						0.005464307	0.002622226	-0.01961461	
749.253	254.4886	743.6107	0	3						0.005456604	0.002636475	-0.01962053	
749.263	254.4982	743.6204	0	3						0.005467214	0.00263264	-0.019623	
749.272	254.5074	743.6296	0	3						0.005463578	0.002633362	-0.0196261	
749.283	254.5184	743.6406	0	3						0.005453241	0.002637342	-0.01962661	
749.294	254.5292	743.6514	0	3						0.0054572	0.002642077	-0.01963223	
749.308	254.5438	743.666	0	3						0.005440339	0.002649354	-0.01963988	
749.317	254.5528	743.675	0	3						0.005430996	0.00265491	-0.01964736	
749.328	254.5634	743.6856	0	3						0.005416077	0.002654385	-0.01964589	
749.342	254.5771	743.6993	0	3						0.005413773	0.002656331	-0.01964003	
749.351	254.5867	743.7089	0	3						0.005383774	0.002660432	-0.01962537	
749.378	254.6134	743.7356	0	3						0.005385202	0.00267654	-0.01963396	
749.394	254.6292	743.7514	0	3						0.005350574	0.002682375	-0.01961775	
749.407	254.6427	743.765	0	3						0.005319219	0.002673009	-0.01960572	
749.415	254.6506	743.7728	0	3						0.005300649	0.002669905	-0.0196055	
749.427	254.6619	743.7841	0	3						0.00527877	0.002665059	-0.01960288	
749.439	254.6745	743.7967	0	3						0.005288661	0.002646658	-0.01960222	
749.448	254.6836	743.8058	0	3						0.005253438	0.002635784	-0.0195869	
749.460	254.6951	743.8173	0	3						0.005246094	0.002626018	-0.01957859	
749.471	254.7063	743.8285	0	3						0.005220455	0.002612066	-0.01956701	
749.480	254.7159	743.8381	0	3						0.005198646	0.002598819	-0.01955949	
749.492	254.7271	743.8493	0	3						0.005178828	0.002578548	-0.01954748	
749.504	254.7391	743.8613	0	3						0.005153649	0.002559471	-0.019542	
749.516	254.7504	743.8726	0	3						0.005112537	0.002544509	-0.01954281	
749.524	254.759	743.8812	0	3						0.005108781	0.002531749	-0.01954281	
749.534	254.7693	743.8915	0	3						0.005083673	0.002515728	-0.01954052	
749.546	254.7809	743.9031	0	3						0.005043779	0.002484801	-0.01953475	
749.557	254.7927	743.9149	0	3						0.005017557	0.002476582	-0.01953781	
749.567	254.8027	743.9249	0	3						0.004972994	0.00244539	-0.01952869	
749.576	254.8114	743.9336	0	3						0.004977293	0.002453577	-0.01953143	
749.588	254.8236	743.9459	0	3						0.004954363	0.002443871	-0.01952693	
749.599	254.835	743.9573	0	3						0.004893997	0.002426712	-0.01951527	
749.608	254.8438	743.9661	0	3						0.004862856	0.002422349	-0.01951521	
749.620	254.8556	743.9778	0	3						0.00483571	0.00241146	-0.01951122	
749.632	254.8674	743.9896	0	3						0.004792389	0.002405402	-0.01950881	
749.641	254.8769	743.9991	0	3						0.004734587	0.002384494	-0.01949401	
749.653	254.8883	744.0105	0	3						0.004693426	0.002372166	-0.0194849	
749.665	254.9003	744.0225	0	3						0.004646175	0.002365143	-0.01948214	
749.675	254.9108	744.033	0	3						0.004611087	0.002373265	-0.01947869	
749.687	254.9224	744.0446	0	3						0.004582901	0.002373718	-0.01948409	
749.702	254.9371	744.0593	0	3						0.004539788	0.002373986	-0.01948996	
749.710	254.9443	744.0665	0	3						0.004453797	0.002377672	-0.0195183	
749.719	254.9544	744.0766	0	3						0.00441365	0.002388317	-0.01953456	
749.730	254.9651	744.0873	0	3						0.004416481	0.002378328	-0.01952693	
749.742	254.977	744.0992	0	3						0.004346832	0.00237207	-0.01954534	
749.752	254.9872	744.1094	0	3						0.004319482	0.002369751	-0.01955131	
749.762	254.9977	744.1199	0	3						0.004257526	0.002368948	-0.01956043	
749.776	255.0115	744.1337	0	3						0.004226572	0.002384614	-0.01956717	
749.785	255.0207	744.1429	0	3						0.004160687	0.002407762	-0.01957386	
749.797	255.0318	744.154	0	3						0.004119847	0.002422463	-0.01957771	
749.808	255.0439	744.166	0	3						0.00403497	0.002447656	-0.01959383	
749.819	255.0546	744.1768	0	3						0.003993332	0.002470598	-0.01960919	
749.830	255.0651	744.1873	0	3						0.003928654	0.002484349	-0.01963272	
749.841	255.0764	744.1986	0	3						0.003863957	0.002503792	-0.0196654	
749.855	255.0907	744.2128	0	3						0.003832047	0.002513418	-0.01968033	
749.865	255.1005	744.2227	0	3						0.00374708	0.002517943	-0.01972695	
749.874	255.1097	744.2319	0	3						0.003654283	0.002517368	-0.01976696	
