Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
166.611	0.01310142	162.6364	0	1						0.006653954	-0.02510217	0.01044982	
166.621	0.02431563	162.6476	0	1						0.006699927	-0.02519923	0.01070119	
166.631	0.03394644	162.6573	0	1						0.006700614	-0.0252527	0.01078973	
166.641	0.04462297	162.6679	0	1						0.006744053	-0.02531221	0.01093098	
166.654	0.05718632	162.6805	0	1						0.00678495	-0.0253783	0.0111165	
166.664	0.06716359	162.6905	0	1						0.006853003	-0.02543423	0.01131368	
166.674	0.0773388	162.7007	0	1						0.006865908	-0.02546056	0.01141929	
166.686	0.08940674	162.7127	0	1						0.006910119	-0.02549678	0.01156859	
166.700	0.1023904	162.7257	0	1						0.00698052	-0.02554523	0.01176929	
166.709	0.1125443	162.7359	0	1						0.007068705	-0.02559237	0.01200682	
166.724	0.1271067	162.7504	0	1						0.007163759	-0.02559367	0.01217871	
166.736	0.1391707	162.7625	0	1						0.007209074	-0.0256458	0.01228694	
166.746	0.1488801	162.7722	0	1						0.007307686	-0.02566625	0.01247943	
166.752	0.1551355	162.7784	0	1						0.0073523	-0.02569663	0.01258561	
166.764	0.1664765	162.7898	0	1						0.007450725	-0.02569998	0.01275144	
166.774	0.1772787	162.8006	0	1						0.007511783	-0.0257346	0.01291496	
166.785	0.1879351	162.8112	0	1						0.007596001	-0.02575558	0.01311036	
166.797	0.2005596	162.8239	0	1						0.007666435	-0.02578402	0.01323202	
166.807	0.2102497	162.8336	0	1						0.0077793	-0.0258197	0.01350434	
166.819	0.2220865	162.8454	0	1						0.007870429	-0.02584481	0.01367444	
166.830	0.2333561	162.8567	0	1						0.007932849	-0.02589309	0.01377143	
166.841	0.2445292	162.8678	0	1						0.008039963	-0.02595516	0.01398953	
166.867	0.2703085	162.8936	0	1						0.008143217	-0.02602591	0.01420441	
166.881	0.2838228	162.9071	0	1						0.008338206	-0.02617252	0.01462229	
166.887	0.2894481	162.9128	0	1						0.008423239	-0.02627952	0.01490196	
166.898	0.3009783	162.9243	0	1						0.008455615	-0.0263248	0.01499438	
166.910	0.3133386	162.9366	0	1						0.008525953	-0.02643379	0.01521316	
166.919	0.3227849	162.9461	0	1						0.008561864	-0.02655386	0.01542547	
166.930	0.3332635	162.9566	0	1						0.008570705	-0.02666851	0.01564745	
166.942	0.3447883	162.9681	0	1						0.00860858	-0.02675011	0.01584499	
166.952	0.3556434	162.979	0	1						0.008607838	-0.02684985	0.01605996	
166.963	0.3666202	162.9899	0	1						0.008576185	-0.02692687	0.01621621	
166.974	0.3773066	163.0006	0	1						0.008578885	-0.02701892	0.01643845	
166.988	0.390005	163.0133	0	1						0.008573622	-0.02708853	0.01661285	
166.997	0.4000337	163.0233	0	1						0.008544702	-0.02716508	0.0168808	
167.008	0.4114253	163.0347	0	1						0.008525793	-0.02723966	0.01698229	
167.021	0.4238918	163.0472	0	1						0.008496009	-0.02731027	0.01719053	
167.037	0.4402039	163.0635	0	1						0.00844605	-0.02740526	0.01744055	
167.046	0.4495301	163.0728	0	1						0.008347608	-0.02750173	0.01787954	
167.054	0.4569632	163.0803	0	1						0.00829592	-0.02753615	0.01805376	
167.063	0.4666857	163.09	0	1						0.008255463	-0.02757147	0.01821111	
167.074	0.4771564	163.1005	0	1						0.008204006	-0.02761271	0.01841139	
167.087	0.4906086	163.1139	0	1						0.00810736	-0.02766	0.0186244	
167.097	0.500083	163.1234	0	1						0.007986042	-0.02773776	0.01887655	
167.107	0.5108606	163.1342	0	1						0.007934362	-0.02775695	0.01899443	
167.119	0.5222459	163.1456	0	1						0.007783697	-0.02778659	0.01922844	
167.131	0.5341033	163.1574	0	1						0.007705569	-0.02783654	0.01939235	
167.142	0.5453455	163.1687	0	1						0.007539853	-0.02788254	0.01964481	
167.152	0.5553774	163.1787	0	1						0.007355243	-0.02793923	0.01991515	
167.165	0.5684903	163.1918	0	1						0.007228495	-0.02796765	0.02010476	
167.175	0.5783067	163.2016	0	1						0.007059146	-0.02801622	0.02028624	
167.191	0.5941641	163.2175	0	1						0.006896716	-0.02804753	0.02050749	
167.202	0.6051531	163.2285	0	1						0.006718516	-0.02809049	0.02066837	
167.212	0.6148021	163.2381	0	1						0.006585483	-0.02810647	0.02079208	
167.218	0.6213621	163.2447	0	1						0.006405145	-0.02814291	0.02100089	
167.231	0.633558	163.2569	0	1						0.006328892	-0.02815517	0.0210756	
167.240	0.644043	163.2674	0	1						0.006150164	-0.02821066	0.02124617	
167.252	0.6552256	163.2785	0	1						0.006032064	-0.02827057	0.02132358	
167.279	0.6675696	163.2909	0	1						0.005881265	-0.02831949	0.02142997	
167.289	0.6920232	163.3153	0	1						0.005757045	-0.02836993	0.02152985	
