Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
465.487	0.01460779	461.5269	0	0						0.04267342	0.3094687	-0.875298	
465.497	0.02706803	461.5394	0	0						0.04262221	0.3094271	-0.8753422	
465.502	0.03199958	461.5443	0	0						0.04259633	0.3094171	-0.8753976	
465.513	0.04295345	461.5552	0	0						0.04258673	0.3094237	-0.8754206	
465.522	0.0529007	461.5652	0	0						0.04257875	0.3094125	-0.8754683	
465.539	0.06950869	461.5818	0	0						0.04256907	0.3094064	-0.8755133	
465.548	0.07903402	461.5913	0	0						0.04256759	0.3093782	-0.8755476	
465.559	0.0896825	461.602	0	0						0.04257237	0.3093793	-0.8755851	
465.566	0.09663203	461.6089	0	0						0.04257657	0.3093799	-0.8756229	
465.578	0.10825	461.6205	0	0						0.04258264	0.3093957	-0.8756639	
465.589	0.1191272	461.6314	0	0						0.04260679	0.3094056	-0.8757105	
465.604	0.1345662	461.6469	0	0						0.04259384	0.3094023	-0.8757551	
465.615	0.1448801	461.6572	0	0						0.04260603	0.3094264	-0.8758144	
465.626	0.1565147	461.6688	0	0						0.04259561	0.309472	-0.8758664	
465.634	0.1646079	461.6769	0	0						0.04257209	0.3095126	-0.8759283	
465.644	0.1741731	461.6865	0	0						0.04258445	0.3095329	-0.8759447	
465.655	0.1856101	461.6979	0	0						0.04256121	0.3095748	-0.8760176	
465.667	0.1973719	461.7097	0	0						0.04254076	0.3096018	-0.8760737	
465.678	0.2085778	461.7209	0	0						0.04253575	0.3096205	-0.8761313	
465.693	0.2235131	461.7358	0	0						0.04246446	0.309674	-0.8762144	
465.703	0.2330128	461.7453	0	0						0.04243167	0.3097284	-0.8763024	
465.712	0.2420028	461.7543	0	0						0.04239456	0.3097553	-0.8763725	
465.722	0.2520014	461.7643	0	0						0.0423943	0.3097674	-0.8764159	
465.733	0.2636806	461.776	0	0						0.04237074	0.3097979	-0.8764864	
465.745	0.2753855	461.7877	0	0						0.04232627	0.3098353	-0.8765737	
465.755	0.2856243	461.7979	0	0						0.04231979	0.3098809	-0.8766544	
465.767	0.297567	461.8099	0	0						0.04230148	0.3098813	-0.8767051	
465.779	0.3083621	461.8206	0	0						0.0422828	0.3099027	-0.8767642	
465.789	0.3194969	461.8318	0	0						0.0422562	0.3099061	-0.8768275	
465.814	0.3445256	461.8568	0	0						0.04223694	0.3099336	-0.8768902	
465.824	0.354009	461.8663	0	0						0.042148	0.3098888	-0.8769978	
465.834	0.3639867	461.8763	0	0						0.0421251	0.3098936	-0.8770336	
465.849	0.3796311	461.8919	0	0						0.04210714	0.3098741	-0.8770574	
465.859	0.3890131	461.9013	0	0						0.04204731	0.3098522	-0.8771207	
465.868	0.3977996	461.9101	0	0						0.04202449	0.3098339	-0.8771518	
465.878	0.4088163	461.9211	0	0						0.04199827	0.3098167	-0.8771802	
465.888	0.4188829	461.9312	0	0						0.04195532	0.3097805	-0.8772175	
465.902	0.4320985	461.9444	0	0						0.0419239	0.3097631	-0.8772516	
465.912	0.4420015	461.9543	0	0						0.04187537	0.309743	-0.8772978	
465.923	0.4528463	461.9651	0	0						0.04186653	0.3097042	-0.8773049	
465.935	0.4655325	461.9778	0	0						0.04184215	0.3096629	-0.8773239	
465.946	0.476164	461.9885	0	0						0.04181303	0.3096263	-0.8773445	
465.957	0.4874249	461.9997	0	0						0.04178264	0.3095936	-0.8773614	
465.968	0.4980671	462.0104	0	0						0.04176211	0.309576	-0.8773747	
465.979	0.5090545	462.0214	0	0						0.04172247	0.3095453	-0.8773831	
465.991	0.5209387	462.0332	0	0						0.04171005	0.3095236	-0.8773787	
466.005	0.5352837	462.0476	0	0						0.0416839	0.3094937	-0.877377	
466.014	0.5438289	462.0561	0	0						0.04167772	0.309448	-0.8773808	
466.024	0.5546354	462.0669	0	0						0.04162627	0.3094271	-0.8773952	
466.034	0.5639652	462.0763	0	0						0.04162513	0.3093936	-0.8773907	
466.045	0.5755168	462.0878	0	0						0.04161992	0.3093661	-0.8773941	
